 20181223
 Seconds  Measures(GLF-%)  Meso-NH(GLF-%)  FORECAST_AR(GLF-%)
       28680   66.0886383       65.8577805       66.2467346    
       28740   66.1399994       65.8577805       66.2932129    
       28800   66.1204529       65.8614273       66.3709183    
       28860   66.1795425       65.8614273       66.4453125    
       28920   66.5500031       65.8881378       66.5693970    
       28980   66.5500031       65.8881378       66.6730347    
       29040   66.8159103       66.0240021       66.7982407    
       29100   66.9295425       66.0240021       66.9714355    
       29160   66.8866653       66.1701202       67.1928177    
       29220   66.9599991       66.1701202       67.4026413    
       29280   66.9863663       66.3766403       67.5778885    
       29340   67.0227280       66.3766403       67.6927795    
       29400   67.1066666       66.7390518       67.6761703    
       29460   66.9977798       66.7390518       67.5523376    
       29520   66.9272690       67.0662842       67.4082260    
       29580   67.1181793       67.0662842       67.2822342    
       29640   67.2177811       66.8989944       67.1822891    
       29700   67.5244446       66.8989944       67.0870590    
       29760   67.9636383       66.6346054       67.0260544    
       29820   67.6272736       66.6346054       67.0116196    
       29880   66.7799988       66.5691986       66.9809799    
       29940   66.2266693       66.5691986       67.0087891    
       30000   66.1454544       66.6142349       66.9882126    
       30060   65.5111084       66.6142349       66.9154282    
       30120   65.1688919       66.6189651       66.7986221    
       30180   64.9111099       66.6189651       66.5459366    
       30240   64.9111099       66.4400940       66.2781754    
       30300   64.4977798       66.4400940       66.0470505    
       30360   64.2422256       66.1011353       65.7926865    
       30420   64.0800018       66.1011353       65.5296173    
       30480   64.0800018       65.7057419       65.2791061    
       30540   63.6911125       65.7057419       65.0710526    
       30600   63.5977783       65.2288589       64.8973236    
       30660   63.7911110       65.2288589       64.7966232    
       30720   63.7911110       64.8363037       64.7579651    
       30780   63.9266663       64.8363037       64.7904434    
       30840   63.9444427       64.6458740       64.8005829    
       30900   63.8533325       64.6458740       64.7143860    
       30960   63.8533325       64.6570053       64.5423126    
       31020   64.0021744       64.6570053       64.2352066    
       31080   64.1304321       64.4945450       63.8911629    
       31140   64.5304337       64.4945450       63.5557709    
       31200   64.4533310       64.0144424       63.2876968    
       31260   64.6130447       64.0144424       63.0654755    
       31320   64.5934753       63.3929634       62.8797836    
       31380   64.5733337       63.3929634       62.7486916    
       31440   64.2622223       63.0775261       62.6170235    
       31500   64.2622223       63.0775261       62.5311546    
       31560   64.1311111       62.9039612       62.4584770    
       31620   64.1244431       62.9039612       62.3813515    
       31680   63.9533348       62.7706604       62.2664948    
       31740   63.9533348       62.7706604       62.0858459    
       31800   63.8577766       62.6838913       61.8196793    
       31860   63.7622223       62.6838913       61.4934044    
       31920   63.9577789       62.4323158       61.1661835    
