 20181009
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
        3480   5.77753830       5.46963692       5.80135965    
        3540   5.77753830       5.46963692       5.80831766    
        3600   5.78100014       5.46177673       5.81689119    
        3660   5.79553843       5.46177673       5.82662392    
        3720   5.79833317       5.45450211       5.83606529    
        3780   5.81733322       5.45450211       5.84501028    
        3840   5.83123064       5.44822550       5.85311031    
        3900   5.83123064       5.44822550       5.86008453    
        3960   5.83911562       5.44413424       5.86583138    
        4020   5.83903694       5.44413424       5.87110996    
        4080   5.85069227       5.44174957       5.87616205    
        4140   5.85566664       5.44174957       5.88228941    
        4200   5.85566664       5.43957901       5.88825369    
        4260   5.86580753       5.43957901       5.89483309    
        4320   5.86580753       5.43489885       5.90017366    
        4380   5.87233353       5.43489885       5.90538931    
        4440   5.87734604       5.43117428       5.91090631    
        4500   5.87470388       5.43117428       5.91686726    
        4560   5.87470388       5.43059254       5.92260742    
        4620   5.87951851       5.43059254       5.92758322    
        4680   5.88715363       5.43018389       5.93133116    
        4740   5.88715363       5.43018389       5.93416548    
        4800   5.88359261       5.42945480       5.93668461    
        4860   5.89048147       5.42945480       5.93950844    
        4920   5.89048147       5.42572260       5.94203472    
        4980   5.90148163       5.42572260       5.94526434    
        5040   5.90148163       5.42055845       5.94798851    
        5100   5.90899992       5.42055845       5.95002317    
        5160   5.90899992       5.41798449       5.95097637    
        5220   5.91811132       5.41798449       5.95257521    
        5280   5.91626930       5.41589880       5.95355749    
        5340   5.91626930       5.41589880       5.95520973    
        5400   5.90903711       5.41406631       5.95700788    
        5460   5.90751839       5.41406631       5.95863247    
        5520   5.91115379       5.41409063       5.95941353    
        5580   5.90714836       5.41409063       5.95913935    
        5640   5.90384626       5.41290998       5.95801449    
        5700   5.90384626       5.41290998       5.95644283    
        5760   5.90122223       5.41081619       5.95517635    
        5820   5.89840746       5.41081619       5.95515060    
        5880   5.89840746       5.40682459       5.95501947    
        5940   5.89274073       5.40682459       5.95553350    
        6000   5.88903856       5.40223265       5.95518064    
        6060   5.88903856       5.40223265       5.95418787    
        6120   5.88903856       5.40030336       5.95252991    
        6180   5.88448143       5.40030336       5.95164156    
        6240   5.87903833       5.39894629       5.94987917    
        6300   5.86914825       5.39894629       5.94838238    
        6360   5.86914825       5.39766693       5.94759750    
        6420   5.86148167       5.39766693       5.94706917    
        6480   5.86057711       5.39711189       5.94702005    
        6540   5.86057711       5.39711189       5.94643116    
        6600   5.85138464       5.39258957       5.94408846    
        6660   5.85138464       5.39258957       5.93980885    
        6720   5.84529638       5.39062357       5.93316221    
        6780   5.84288454       5.39062357       5.92576027    
        6840   5.83374071       5.39241695       5.91773415    
        6900   5.83246136       5.39241695       5.90972328    
