 20190707
 Seconds  Measures(RH-%)  Meso-NH(RH-%)  FORECAST_AR(RH-%)
        3660   10.7377052       11.5767145       10.6496716    
        3720   10.7213116       11.5163136       10.6435690    
        3780   10.7049179       11.4554596       10.6477852    
        3840   10.6885242       11.3971777       10.6593666    
        3900   10.6721315       11.3457737       10.6754923    
        3960   10.6557379       11.3037434       10.6953611    
        4020   10.6229506       11.2695532       10.7194757    
        4080   10.5901642       11.2401171       10.7460356    
        4140   10.5409832       11.2142754       10.7784328    
        4200   10.4754095       11.1922741       10.8143959    
        4260   10.4426231       11.1738186       10.8542709    
        4320   10.3934422       11.1587133       10.8989630    
        4380   10.3606558       11.1476002       10.9448061    
        4440   10.3442621       11.1408434       10.9897308    
        4500   10.3114758       11.1370144       11.0390263    
        4560   10.2786884       11.1339474       11.0936632    
        4620   10.2459021       11.1303921       11.1552114    
        4680   10.2131147       11.1280594       11.2232800    
        4740   10.1803274       11.1282063       11.2921600    
        4800   10.1311474       11.1313534       11.3591681    
        4860   10.0819674       11.1373100       11.4240026    
        4920   10.0327873       11.1452379       11.4855623    
        4980   9.98360634       11.1532230       11.5421801    
        5040   9.90163898       11.1589117       11.5976534    
        5100   9.81967258       11.1614180       11.6520996    
        5160   9.75409794       11.1613550       11.7056904    
        5220   9.70491791       11.1601152       11.7613087    
        5280   9.63934422       11.1594715       11.8176079    
        5340   9.59016418       11.1611261       11.8711348    
        5400   9.52459049       11.1657982       11.9190102    
        5460   9.44262314       11.1720514       11.9595795    
        5520   9.37704945       11.1759968       11.9928007    
        5580   9.31147575       11.1750021       12.0195818    
        5640   9.26229477       11.1688309       12.0400352    
        5700   9.22950840       11.1583004       12.0539923    
        5760   9.18032742       11.1441813       12.0632915    
        5820   9.13114738       11.1264906       12.0695000    
        5880   9.11475372       11.1054449       12.0731869    
        5940   9.09836102       11.0819368       12.0750265    
        6000   9.06557369       11.0569820       12.0745544    
        6060   9.01639366       11.0311041       12.0706787    
        6120   8.96721268       11.0046120       12.0635824    
        6180   8.91803265       10.9772749       12.0532150    
        6240   8.88524628       10.9486628       12.0389881    
        6300   8.85245895       10.9186306       12.0219603    
        6360   8.81967258       10.8870792       12.0023537    
        6420   8.78688526       10.8534441       11.9807634    
        6480   8.73770523       10.8173027       11.9581995    
        6540   8.65573788       10.7787466       11.9362984    
        6600   8.59016418       10.7383966       11.9168024    
        6660   8.52459049       10.6976156       11.8999052    
        6720   8.45901680       10.6589060       11.8846922    
        6780   8.40983582       10.6246519       11.8708715    
        6840   8.34426212       10.5956154       11.8584089    
        6900   8.29508209       10.5709705       11.8458376    
        6960   8.24590206       10.5496082       11.8306227    
        7020   8.18032742       10.5305824       11.8106709    
        7080   8.13114738       10.5122290       11.7855501    
        7140   8.06557369       10.4919844       11.7566109    
        7200   8.00000000       10.4680882       11.7252550    
        7260   7.93442631       10.4404125       7.80041218    
        7320   7.88524580       10.4093685       7.74329662    
        7380   7.83606577       10.3751831       7.68343592    
        7440   7.78688526       10.3372211       7.61782074    
        7500   7.73770475       10.2942104       7.55289221    
        7560   7.65573788       10.2460661       7.49267387    
        7620   7.57377052       10.1949234       7.43033743    
        7680   7.52459002       10.1437006       7.36920309    
        7740   7.47540998       10.0934029       7.30767393    
        7800   7.44262314       10.0430117       7.24326801    
        7860   7.42622948       9.99120998       7.17648077    
        7920   7.40983629       9.93691444       7.10792971    
        7980   7.40983629       9.87903786       7.03618813    
        8040   7.39344263       9.81748486       6.96547842    
        8100   7.37704897       9.75331402       6.89714003    
        8160   7.37704897       9.68770027       6.82728052    
        8220   7.34426212       9.62109470       6.75698137    
        8280   7.34426212       9.55165958       6.68446970    
        8340   7.32786894       9.47838783       6.60531855    
        8400   7.32786894       9.39957142       6.52392721    
        8460   7.31147528       9.31375885       6.44486666    
        8520   7.31147528       9.22316933       6.36633873    
        8580   7.29508209       9.13187504       6.29113340    
        8640   7.27868843       9.04203796       6.21856117    
        8700   7.29508209       8.95408344       6.14796734    
        8760   7.32786894       8.86807823       6.08017683    
        8820   7.32786894       8.78426647       6.01467466    
        8880   7.31147528       8.70295143       5.95196676    
        8940   7.29508209       8.62406826       5.89322662    
        9000   7.29508209       8.54782867       5.83861113    
        9060   7.29508209       8.47501469       5.78646946    
        9120   7.31147528       8.40615368       5.73761845    
        9180   7.29508209       8.34103012       5.69245338    
        9240   7.29508209       8.27902317       5.65088367    
        9300   7.27868843       8.21985149       5.61584759    
        9360   7.24590158       8.16390800       5.58944845    
        9420   7.22950840       8.11233425       5.57004213    
        9480   7.21311474       8.06655884       5.55924654    
        9540   7.19672108       8.02767467       5.55505753    
        9600   7.18032789       7.99602413       5.55497026    
        9660   7.16393423       7.97132969       5.55917835    
        9720   7.19672108       7.95250130       5.56510115    
        9780   7.21311474       7.93819523       5.57253885    
        9840   7.22950840       7.92735100       5.58199215    
        9900   7.21311474       7.91893530       5.59337854    
        9960   7.21311474       7.91220379       5.60659599    
       10020   7.22950840       7.90716314       5.62100172    
       10080   7.24590158       7.90367794       5.63461351    
       10140   7.27868843       7.90107250       5.64425421    
       10200   7.34426212       7.89812565       5.64831209    
       10260   7.40983629       7.89314365       5.64639568    
       10320   7.45901632       7.88407612       5.63960552    
       10380   7.49180317       7.86921549       5.63116169    
       10440   7.54098368       7.84872293       5.62368250    
       10500   7.57377052       7.82457447       5.61948633    
       10560   7.62295103       7.79869461       5.61919594    
       10620   7.63934422       7.77299929       5.62168407    
       10680   7.72131157       7.75010872       5.62657833    
       10740   7.75409842       7.73182869       5.63386202    
       10800   7.80327892       7.71764755       5.64241934    
       10860   7.85245895       7.70671749       7.97429848    
       10920   7.93442631       7.69811630       8.02964497    
       10980   7.98360634       7.69019461       8.08172131    
       11040   8.03278732       7.68154335       8.13455391    
       11100   8.06557369       7.67211056       8.18553638    
       11160   8.11475372       7.66260242       8.23574734    
       11220   8.18032742       7.65382767       8.27448559    
       11280   8.24590206       7.64534378       8.31157303    
