 20180813
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       25080   5.49590921       6.49831820       5.47100544    
       25140   5.46680021       6.49831820       5.47157860    
       25200   5.46735573       6.52998495       5.47108316    
       25260   5.45944452       6.52998495       5.46977091    
       25320   5.47097731       6.55528259       5.46777344    
       25380   5.45753336       6.55528259       5.46505404    
       25440   5.44626665       6.57675266       5.46304274    
       25500   5.45611095       6.57675266       5.46122980    
       25560   5.47579527       6.59677172       5.46034050    
       25620   5.48244429       6.59677172       5.45695400    
       25680   5.48991108       6.61536694       5.45331144    
       25740   5.48723936       6.61536694       5.45183706    
       25800   5.48388910       6.63030815       5.45157671    
       25860   5.46804428       6.63030815       5.45293522    
       25920   5.40535545       6.64431810       5.45445538    
       25980   5.36126661       6.64431810       5.45700216    
       26040   5.36126661       6.66073608       5.46033096    
       26100   5.32664442       6.66073608       5.46327543    
       26160   5.30346680       6.68173265       5.46498489    
       26220   5.28551102       6.68173265       5.46610165    
       26280   5.28551102       6.70486689       5.46551561    
       26340   5.25311089       6.70486689       5.46441269    
       26400   5.23888636       6.72190523       5.46427679    
       26460   5.23080015       6.72190523       5.46495867    
       26520   5.17159986       6.73189163       5.46582127    
       26580   5.13727283       6.73189163       5.46708345    
       26640   5.11649990       6.73776579       5.47011518    
       26700   5.12260008       6.73776579       5.47451115    
       26760   5.09857798       6.74660063       5.47939157    
       26820   5.08468199       6.74660063       5.48477125    
       26880   5.08740902       6.76099300       5.49076223    
       26940   5.09036350       6.76099300       5.49811172    
       27000   5.09036350       6.77625179       5.50569916    
       27060   5.10154533       6.77625179       5.51268482    
       27120   5.09348869       6.79258394       5.51949358    
       27180   5.09447718       6.79258394       5.52599430    
       27240   5.07034111       6.80964708       5.53214073    
       27300   5.05577278       6.80964708       5.53571367    
       27360   5.05231094       6.82684278       5.53667545    
       27420   5.06493187       6.82684278       5.53616571    
       27480   5.05976725       6.83972883       5.53503370    
       27540   5.03999996       6.83972883       5.53347015    
       27600   5.03999996       6.84443378       5.53190374    
       27660   5.01975632       6.84443378       5.53013992    
       27720   5.02742481       6.84306097       5.52913332    
       27780   5.02551270       6.84306097       5.52864742    
       27840   5.02551270       6.84084082       5.52929258    
       27900   5.01007891       6.84084082       5.53021240    
       27960   4.99384212       6.84071445       5.53072786    
       28020   4.97579479       6.84071445       5.52896023    
       28080   4.96271801       6.84412909       5.52510452    
       28140   4.95394754       6.84412909       5.52085352    
       28200   4.95181561       6.84554863       5.51692057    
       28260   4.96017933       6.84554863       5.51533985    
       28320   4.91682053       6.83828831       5.51588058    
       28380   4.88392305       6.83828831       5.51860046    
       28440   4.87955284       6.83104467       5.52283335    
       28500   4.89817953       6.83104467       5.52702427    
       28560   4.91405106       6.83150339       5.53052139    
       28620   4.93471813       6.83150339       5.53375864    
       28680   4.93263149       6.83694506       4.98612404    
       28740   4.94697428       6.83694506       5.00893736    
       28800   4.98843575       6.83951664       5.02664518    
       28860   5.03851271       6.83951664       5.04141474    
       28920   5.06355286       6.83934832       5.05466652    
       28980   5.08105135       6.83934832       5.06621742    
       29040   5.08953857       6.83396864       5.07737494    
       29100   5.12602568       6.83396864       5.09032679    
       29160   5.12307882       6.82344484       5.10295916    
       29220   5.15712833       6.82344484       5.11562681    
       29280   5.18702555       6.81372833       5.13039494    
       29340   5.19823074       6.81372833       5.14614296    
       29400   5.19378948       6.80729151       5.16156054    
       29460   5.23043585       6.80729151       5.17694187    
       29520   5.26794863       6.80548048       5.19318581    
       29580   5.31841040       6.80548048       5.20980597    
       29640   5.34381580       6.80644846       5.22554302    
       29700   5.36143589       6.80644846       5.23787451    
       29760   5.40141010       6.81019974       5.24871922    
       29820   5.44930792       6.81019974       5.26132345    
       29880   5.44760513       6.81304455       5.27465200    
       29940   5.48946142       6.81304455       5.28815079    
       30000   5.52961540       6.81369448       5.30204535    
       30060   5.56287479       6.81369448       5.31598473    
       30120   5.58051300       6.81437111       5.33109665    
       30180   5.65182066       6.81437111       5.34659672    
       30240   5.71732521       6.81887054       5.36077023    
       30300   5.77767515       6.81887054       5.37346268    
       30360   5.78758955       6.82626104       5.38600349    
       30420   5.86584616       6.82626104       5.39857578    
       30480   5.92102480       6.83199930       5.40944672    
       30540   5.97267485       6.83199930       5.41760302    
       30600   6.02497482       6.83083963       5.42576313    
       30660   6.02497482       6.83083963       5.43620396    
       30720   6.08297491       6.82592106       5.44855261    
       30780   6.14002514       6.82592106       5.46090221    
       30840   6.20473194       6.82012653       5.47265196    
       30900   6.25780010       6.82012653       5.48449993    
       30960   6.37512493       6.81775045       5.49634266    
       31020   6.46107483       6.81775045       5.50832224    
       31080   6.51943922       6.81708193       5.52091312    
       31140   6.51943922       6.81708193       5.53348446    
       31200   6.57495260       6.81587791       5.54673719    
       31260   6.63925600       6.81587791       5.56079578    
       31320   6.66650009       6.81572342       5.57544470    
       31380   6.66650009       6.81572342       5.58969307    
       31440   6.68773317       6.82100248       5.60340595    
       31500   6.71626091       6.82100248       5.61587048    
       31560   6.74742556       6.82848454       5.62621593    
       31620   6.79245663       6.82848454       5.63492155    
       31680   6.86456537       6.83544016       5.64134836    
       31740   6.90847826       6.83544016       5.64536667    
       31800   6.92465973       6.83648825       5.64720297    
       31860   6.94013023       6.83648825       5.64643002    
       31920   6.99921751       6.83008528       5.64364624    
       31980   7.08176088       6.83008528       5.63889885    
       32040   7.13878250       6.81706047       5.63242483    
       32100   7.13878250       6.81706047       5.62508965    
       32160   7.20028257       6.79639244       5.61749220    
       32220   7.31106520       6.79639244       5.61021471    
       32280   7.38004351       6.77146912       7.41722345    
       32340   7.38004351       6.77146912       7.45663929    
       32400   7.43743467       6.74531460       7.49655151    
       32460   7.48600006       6.74531460       7.53615475    
       32520   7.54093456       6.71933270       7.57640648    
       32580   7.54093456       6.71933270       7.61353636    
       32640   7.62097836       6.69577408       7.65089178    
       32700   7.67484426       6.69577408       7.68817139    
       32760   7.71793318       6.67742872       7.72128201    
       32820   7.73615217       6.67742872       7.75353003    
       32880   7.78147840       6.66250134       7.78264761    
       32940   7.80015564       6.66250134       7.80963659    
       33000   7.87471104       6.64549589       7.83389330    
       33060   7.89384794       6.64549589       7.85759068    
       33120   7.95945644       6.62465048       7.88044548    
       33180   7.99684429       6.62465048       7.89947033    
       33240   8.04495525       6.60514021       7.91735268    
       33300   8.03134823       6.60514021       7.93265963    
       33360   8.07579994       6.58533525       7.94976568    
       33420   8.08357811       6.58533525       7.96594238    
       33480   8.12368870       6.56182384       7.98175716    
       33540   8.11080456       6.56182384       7.99695683    
       33600   8.13371086       6.53860474       8.01196671    
       33660   8.14088917       6.53860474       8.02499199    
       33720   8.17642212       6.51828098       8.03225136    
       33780   8.15184784       6.51828098       8.03579235    
       33840   8.17800045       6.50175476       8.03711224    
       33900   8.15971088       6.50175476       8.03740978    
       33960   8.14519978       6.47527504       8.03647041    
       34020   8.10617352       6.47527504       8.03510761    
       34080   8.10791111       6.43962097       8.03322220    
       34140   8.08580017       6.43962097       8.03218937    
       34200   8.06159973       6.40607834       8.03179073    
       34260   8.04222202       6.40607834       8.02901840    
       34320   8.04222202       6.37375641       8.02409172    
       34380   8.03542233       6.37375641       8.01983547    
       34440   8.02562237       6.34161901       8.01935768    
       34500   7.97882223       6.34161901       8.02111149    
       34560   7.97882223       6.31497192       8.02111244    
       34620   7.94535542       6.31497192       8.02194595    
       34680   7.92420006       6.29583597       8.02318192    
       34740   7.88344431       6.29583597       8.02375031    
       34800   7.88344431       6.28021002       8.02450752    
       34860   7.84402227       6.28021002       8.02589321    
       34920   7.79004431       6.26561451       8.02442265    
       34980   7.75899982       6.26561451       8.02075005    
       35040   7.75899982       6.25785875       8.01460648    
       35100   7.75742245       6.25785875       8.00655842    
       35160   7.71662235       6.24428988       7.99682522    
       35220   7.69119978       6.24428988       7.98627472    
       35280   7.69119978       6.22639608       7.97495794    
       35340   7.68913317       6.22639608       7.96371317    
       35400   7.72508907       6.20523310       7.95283175    
       35460   7.73422241       6.20523310       7.94192696    
       35520   7.73422241       6.18315792       7.93177891    
       35580   7.70566654       6.18315792       7.92207766    
       35640   7.69135571       6.16372728       7.91198254    
       35700   7.69040918       6.16372728       7.90099669    
       35760   7.68368912       6.15010929       7.88894367    
       35820   7.65851116       6.15010929       7.87571478    
       35880   7.58382225       6.13643456       7.52484751    
       35940   7.55329561       6.13643456       7.49648333    
       36000   7.53431129       6.12075901       7.46813345    
       36060   7.49760008       6.12075901       7.43630886    
       36120   7.46804428       6.10669994       7.40495634    
       36180   7.43304443       6.10669994       7.37008381    
       36240   7.43304443       6.09275293       7.33762980    
       36300   7.40497780       6.09275293       7.30173635    
       36360   7.40919542       6.07463312       7.26399899    
       36420   7.39415550       6.07463312       7.22679520    
       36480   7.34886646       6.04739857       7.18861246    
       36540   7.30079985       6.04739857       7.15047836    
       36600   7.30079985       6.01694059       7.11482382    
       36660   7.23311090       6.01694059       7.08307266    
       36720   7.19948912       5.98615360       7.05174398    
       36780   7.14817762       5.98615360       7.02223158    
       36840   7.14817762       5.96130610       6.99455166    
       36900   7.11084461       5.96130610       6.96663761    
       36960   7.09202242       5.93909502       6.94070482    
       37020   7.07286978       5.93909502       6.91527510    
       37080   7.08451128       5.91863489       6.89165783    
       37140   7.02502203       5.91863489       6.86642647    
       37200   6.99639988       5.90125465       6.83959818    
       37260   6.97097826       5.90125465       6.81319475    
       37320   6.96906662       5.88275290       6.78765488    
       37380   6.93342209       5.88275290       6.76407814    
       37440   6.92846680       5.86146498       6.74017000    
       37500   6.90130424       5.86146498       6.71708632    
       37560   6.88913345       5.83289051       6.69614744    
       37620   6.86553335       5.83289051       6.67664194    
       37680   6.87725019       5.80824947       6.65757370    
       37740   6.86424446       5.80824947       6.63807201    
       37800   6.84833336       5.78855515       6.61860037    
       37860   6.83020020       5.78855515       6.60182285    
       37920   6.83447742       5.76897049       6.58752298    
       37980   6.80328894       5.76897049       6.57313585    
       38040   6.79284430       5.75534964       6.55610132    
       38100   6.79768181       5.75534964       6.53434038    
       38160   6.78377295       5.74397898       6.50946045    
       38220   6.76795578       5.74397898       6.48437309    
       38280   6.75600004       5.72548723       6.45825958    
       38340   6.74168205       5.72548723       6.43082142    
       38400   6.71709108       5.69595003       6.40312481    
       38460   6.69044447       5.69595003       6.37412596    
       38520   6.68165922       5.66040373       6.34363365    
       38580   6.65597725       5.66040373       6.31486082    
       38640   6.64059114       5.62582445       6.28668833    
       38700   6.61828899       5.62582445       6.25933981    
       38760   6.59709072       5.58553362       6.23314667    
       38820   6.58120441       5.58553362       6.20794821    
       38880   6.55570459       5.54557180       6.18428278    
       38940   6.53848886       5.54557180       6.16194057    
       39000   6.51631832       5.50844812       6.14196825    
       39060   6.44390917       5.50844812       6.12420130    
       39120   6.37674999       5.47550678       6.10761738    
       39180   6.35062218       5.47550678       6.09098577    
       39240   6.34243202       5.44973564       6.07262564    
       39300   6.29199982       5.44973564       6.05366087    
       39360   6.26668882       5.42667246       6.03459930    
       39420   6.19506645       5.42667246       6.01565456    
       39480   6.16990900       5.39637518       6.07797861    
       39540   6.13470459       5.39637518       6.03934240    
       39600   6.09735537       5.36367893       6.00135374    
       39660   6.06848907       5.36367893       5.96765804    
       39720   6.05913639       5.33182669       5.93764496    
       39780   6.02863646       5.33182669       5.90810156    
       39840   6.00215912       5.30310345       5.88167191    
       39900   6.00477791       5.30310345       5.85628319    
       39960   5.95568180       5.27955580       5.83640862    
       40020   5.91302252       5.27955580       5.81768942    
       40080   5.91171122       5.26046753       5.80033684    
       40140   5.90068913       5.26046753       5.78342867    
       40200   5.88995457       5.24808550       5.76893377    
       40260   5.90633345       5.24808550       5.75494432    
       40320   5.90095568       5.24040031       5.74050570    
       40380   5.87628889       5.24040031       5.72570562    
       40440   5.84320450       5.23857689       5.70685244    
       40500   5.86339998       5.23857689       5.68881273    
       40560   5.87757778       5.23413086       5.67297983    
       40620   5.86179543       5.23413086       5.65668774    
       40680   5.88856840       5.22324991       5.63996124    
       40740   5.92406654       5.22324991       5.62193727    
       40800   5.92702293       5.20981503       5.60536575    
       40860   5.92988634       5.20981503       5.59076977    
       40920   5.94911385       5.19510794       5.57655048    
       40980   5.95097780       5.19510794       5.56168127    
       41040   5.93043184       5.18334532       5.54759407    
       41100   5.90252256       5.18334532       5.53592014    
       41160   5.93418169       5.17261124       5.52571058    
       41220   5.95517778       5.17261124       5.51515532    
       41280   5.95643187       5.16573811       5.50363207    
       41340   5.97566652       5.16573811       5.49113035    
       41400   5.98604441       5.16049290       5.47974968    
       41460   5.99306679       5.16049290       5.46965933    
       41520   6.00748873       5.15660381       5.46052933    
       41580   6.00748873       5.15660381       5.45183468    
       41640   6.04746675       5.15259457       5.44445324    
       41700   6.09231091       5.15259457       5.44044685    
       41760   6.09231091       5.15209579       5.44098663    
       41820   6.09270477       5.15209579       5.44470167    
       41880   6.09318590       5.15970373       5.45050955    
       41940   6.08433342       5.15970373       5.45897150    
       42000   6.12646532       5.17798376       5.47121191    
       42060   6.13095236       5.17798376       5.48583221    
       42120   6.20485735       5.20623159       5.50180292    
       42180   6.26551151       5.20623159       5.51860046    
       42240   6.34874439       5.24353456       5.53438711    
       42300   6.36266661       5.24353456       5.55024481    
       42360   6.42995214       5.28502941       5.56601095    
       42420   6.45934868       5.28502941       5.58104134    
       42480   6.53839540       5.32127094       5.59530210    
       42540   6.55323792       5.32127094       5.60829020    
       42600   6.62261915       5.35590410       5.61970949    
       42660   6.66174412       5.35590410       5.62875462    
       42720   6.71097660       5.38710356       5.63521719    
       42780   6.80930233       5.38710356       5.63973713    
       42840   6.84759521       5.40984440       5.64262009    
       42900   6.89455795       5.40984440       5.64572477    
       42960   6.97544193       5.42181492       5.65009308    
       43020   7.03781414       5.42181492       5.65501547    
       43080   7.10621452       5.42699003       7.26387930    
       43140   7.12923241       5.42699003       7.30176973    
       43200   7.18013954       5.43565655       7.33929348    
       43260   7.22493029       5.43565655       7.37334633    
       43320   7.26838112       5.44847822       7.40316486    
       43380   7.25546503       5.44847822       7.43297577    
       43440   7.27400017       5.46020889       7.46106005    
       43500   7.31558132       5.46020889       7.48732185    
       43560   7.34404755       5.46537352       7.51149321    
       43620   7.34844208       5.46537352       7.53540897    
       43680   7.37713957       5.46403456       7.55836868    
       43740   7.42058134       5.46403456       7.57753706    
       43800   7.45388079       5.46225119       7.59812069    
       43860   7.48409319       5.46225119       7.61722088    
       43920   7.53916264       5.46346235       7.63656950    
       43980   7.60818624       5.46346235       7.65447283    
       44040   7.64333344       5.46659994       7.66977787    
