 20190403
 Seconds  Measures(TEMP-C°)  Meso-NH(TEMP-C°)  FORECAST_AR(TEMP-C°)
        3600   12.9893446       13.9562979       13.0284052    
        3660   12.9872131       14.0011187       13.0262432    
        3720   12.9852457       14.0456352       13.0244513    
        3780   12.9834423       14.0892000       13.0200644    
        3840   12.9821310       14.1320467       13.0129929    
        3900   12.9809837       14.1736031       13.0057497    
        3960   12.9795084       14.2115803       12.9985352    
        4020   12.9788523       14.2449150       12.9922285    
        4080   12.9785242       14.2744503       12.9872980    
        4140   12.9767218       14.3019152       12.9837561    
        4200   12.9736061       14.3280382       12.9817209    
        4260   12.9709835       14.3534508       12.9797258    
        4320   12.9691801       14.3783865       12.9770851    
        4380   12.9686890       14.4025984       12.9740505    
        4440   12.9680328       14.4255657       12.9707775    
        4500   12.9718037       14.4468441       12.9677372    
        4560   12.9788523       14.4674339       12.9636860    
        4620   12.9854097       14.4879999       12.9573593    
        4680   12.9927874       14.5085335       12.9483042    
        4740   12.9922953       14.5286016       12.9357080    
        4800   12.9924593       14.5467205       12.9207554    
        4860   12.9978685       14.5610876       12.9043961    
        4920   13.0063934       14.5709963       12.8883333    
        4980   13.0091801       14.5769815       12.8737841    
        5040   13.0067215       14.5803928       12.8617907    
        5100   13.0024586       14.5824881       12.8532848    
        5160   12.9945898       14.5851078       12.8473921    
        5220   12.9865570       14.5897255       12.8428898    
        5280   12.9809837       14.5963736       12.8395004    
        5340   12.9759016       14.6041346       12.8355303    
        5400   12.9739342       14.6123800       12.8280497    
        5460   12.9739342       14.6205645       12.8151474    
        5520   12.9709835       14.6273994       12.7986126    
        5580   12.9637709       14.6310072       12.7808638    
        5640   12.9549179       14.6292458       12.7638826    
        5700   12.9444265       14.6223717       12.7485590    
        5760   12.9344263       14.6120090       12.7354965    
        5820   12.9208193       14.6002655       12.7236109    
        5880   12.9060659       14.5886335       12.7113791    
        5940   12.8868856       14.5773754       12.6977549    
        6000   12.8662291       14.5656080       12.6828203    
        6060   12.8450823       14.5523357       12.6679087    
        6120   12.8250818       14.5374184       12.6535416    
        6180   12.8052464       14.5220356       12.6389017    
        6240   12.7850819       14.5068760       12.6228848    
        6300   12.7649183       14.4909220       12.6054726    
        6360   12.7447538       14.4718761       12.5881071    
        6420   12.7285242       14.4491615       12.5727091    
        6480   12.7132788       14.4242334       12.5621319    
        6540   12.7016392       14.3994799       12.5571413    
        6600   12.6949177       14.3775902       12.5569363    
        6660   12.6937704       14.3608694       12.5614738    
        6720   12.6977053       14.3487110       12.5693741    
        6780   12.6993446       14.3399897       12.5786810    
        6840   12.7018032       14.3341818       12.5874615    
        6900   12.7073774       14.3305807       12.5944948    
        6960   12.7154102       14.3275785       12.6002350    
        7020   12.7245903       14.3235683       12.6053886    
        7080   12.7327871       14.3177910       12.6100044    
        7140   12.7409840       14.3105555       12.6138525    
        7200   12.7478685       14.3023872       12.7447481    
        7260   12.7518034       14.2936802       12.7469177    
        7320   12.7547541       14.2846651       12.7493029    
        7380   12.7581968       14.2751837       12.7537069    
        7440   12.7659016       14.2646151       12.7628279    
        7500   12.7736063       14.2539587       12.7759857    
        7560   12.7809839       14.2459717       12.7916822    
        7620   12.7877045       14.2420149       12.8086252    
        7680   12.7937708       14.2414656       12.8258152    
        7740   12.8013115       14.2430038       12.8411121    
        7800   12.8093443       14.2461262       12.8528976    
        7860   12.8178692       14.2497530       12.8618298    
        7920   12.8255739       14.2519064       12.8694315    
        7980   12.8327866       14.2511864       12.8766088    
        8040   12.8362293       14.2476673       12.8843355    
        8100   12.8375406       14.2427549       12.8926058    
        8160   12.8380327       14.2373543       12.9025030    
        8220   12.8378687       14.2323732       12.9145489    
        8280   12.8370495       14.2283201       12.9294977    
        8340   12.8365574       14.2255955       12.9477615    
        8400   12.8355742       14.2255392       12.9695387    
        8460   12.8326225       14.2293787       12.9947596    
        8520   12.8285246       14.2372360       13.0227127    
        8580   12.8262291       14.2484379       13.0526867    
        8640   12.8240986       14.2622080       13.0836420    
        8700   12.8198357       14.2783976       13.1136532    
        8760   12.8154097       14.2962751       13.1411409    
        8820   12.8113117       14.3148041       13.1658573    
        8880   12.8070488       14.3330326       13.1892023    
        8940   12.8014755       14.3492804       13.2120390    
        9000   12.7924595       14.3625479       13.2353182    
        9060   12.7808199       14.3734579       13.2621222    
        9120   12.7667217       14.3834057       13.2938633    
        9180   12.7552462       14.3945198       13.3294659    
        9240   12.7485247       14.4099827       13.3656082    
        9300   12.7426233       14.4307051       13.4006433    
        9360   12.7377052       14.4552650       13.4343424    
        9420   12.7324591       14.4806242       13.4667158    
        9480   12.7321310       14.5048008       13.4985018    
        9540   12.7336063       14.5273638       13.5294752    
        9600   12.7399998       14.5485315       13.5589724    
        9660   12.7503281       14.5689993       13.5860806    
        9720   12.7618036       14.5893955       13.6106548    
        9780   12.7719669       14.6098690       13.6324615    
        9840   12.7829504       14.6297665       13.6509600    
        9900   12.7940979       14.6481018       13.6655960    
        9960   12.8057375       14.6640387       13.6764193    
       10020   12.8165569       14.6760349       13.6847496    
       10080   12.8222952       14.6832542       13.6921396    
       10140   12.8260660       14.6861982       13.6992254    
       10200   12.8316393       14.6862268       13.7058468    
       10260   12.8388529       14.6850758       13.7106724    
       10320   12.8440981       14.6839724       13.7127018    
       10380   12.8522949       14.6827850       13.7115145    
       10440   12.8665571       14.6799765       13.7076206    
       10500   12.8768854       14.6742382       13.7018623    
       10560   12.8844261       14.6658010       13.6949778    
       10620   12.8922949       14.6553574       13.6875086    
       10680   12.8991804       14.6435280       13.6794310    
       10740   12.9037704       14.6307907       13.6709776    
       10800   12.9055738       14.6172924       12.8892441    
       10860   12.9049177       14.6032286       12.8878326    
       10920   12.9024591       14.5891438       12.8879023    
       10980   12.9006557       14.5759764       12.8897762    
       11040   12.8999996       14.5643787       12.8910332    
       11100   12.8983603       14.5540724       12.8914061    
       11160   12.8967209       14.5447512       12.8895540    
       11220   12.8944263       14.5358706       12.8842220    
       11280   12.8919668       14.5265608       12.8755178    
       11340   12.8896723       14.5155582       12.8645763    
       11400   12.8865576       14.5012989       12.8537350    
       11460   12.8840981       14.4838123       12.8438244    
       11520   12.8796721       14.4649744       12.8348322    
       11580   12.8757381       14.4464684       12.8256741    
       11640   12.8713112       14.4285278       12.8148012    
       11700   12.8677053       14.4104195       12.8021364    
       11760   12.8642626       14.3912029       12.7877436    
       11820   12.8595085       14.3701353       12.7709589    
       11880   12.8559017       14.3469763       12.7530432    
       11940   12.8518028       14.3218966       12.7345066    
       12000   12.8478689       14.2949877       12.7155771    
       12060   12.8436069       14.2669430       12.6969013    
       12120   12.8404922       14.2383003       12.6787119    
       12180   12.8368855       14.2087526       12.6609297    
       12240   12.8339348       14.1788321       12.6427898    
       12300   12.8319674       14.1486902       12.6240273    
       12360   12.8298359       14.1179609       12.6062737    
       12420   12.8283606       14.0864754       12.5914116    
       12480   12.8260660       14.0547009       12.5794907    
       12540   12.8234425       14.0243092       12.5680075    
       12600   12.8195086       13.9963074       12.5556545    
       12660   12.8154097       13.9701843       12.5419683    
       12720   12.8122950       13.9444809       12.5267153    
       12780   12.8096724       13.9179020       12.5101719    
       12840   12.8059015       13.8899441       12.4923935    
       12900   12.7996721       13.8605099       12.4734678    
       12960   12.7921314       13.8300114       12.4533787    
       13020   12.7860651       13.7993603       12.4333439    
       13080   12.7799997       13.7686367       12.4133205    
       13140   12.7719669       13.7366800       12.3925524    
       13200   12.7626228       13.7034245       12.3711901    
       13260   12.7522955       13.6696253       12.3500938    
       13320   12.7391806       13.6357002       12.3306961    
       13380   12.7249184       13.6022406       12.3137875    
       13440   12.7075405       13.5705309       12.2997828    
       13500   12.6888523       13.5419703       12.2894220    
       13560   12.6726227       13.5170431       12.2823610    
       13620   12.6572132       13.4955559       12.2772131    
       13680   12.6440983       13.4773407       12.2722416    
       13740   12.6309834       13.4620914       12.2663183    
       13800   12.6175413       13.4486380       12.2595711    
       13860   12.6050816       13.4350367       12.2531643    
       13920   12.5934429       13.4202995       12.2475967    
       13980   12.5868855       13.4049177       12.2423773    
       14040   12.5781965       13.3902187       12.2377434    
       14100   12.5681963       13.3769121       12.2342558    
       14160   12.5659018       13.3645315       12.2318993    
       14220   12.5688524       13.3527842       12.2303133    
       14280   12.5721312       13.3421516       12.2289591    
       14340   12.5736065       13.3327227       12.2275991    
       14400   12.5770493       13.3241167       12.5763168    
       14460   12.5811472       13.3157940       12.5776711    
       14520   12.5844259       13.3074980       12.5781050    
       14580   12.5859013       13.2990608       12.5762777    
       14640   12.5844259       13.2900639       12.5719233    
       14700   12.5803280       13.2797174       12.5663395    
       14760   12.5745897       13.2672997       12.5600758    
       14820   12.5673771       13.2531433       12.5547333    
       14880   12.5593443       13.2382479       12.5511742    
       14940   12.5537701       13.2234077       12.5487375    
       15000   12.5518036       13.2098341       12.5473785    
       15060   12.5486889       13.1980381       12.5466070    
       15120   12.5445900       13.1878567       12.5465860    
       15180   12.5411472       13.1789188       12.5464764    
       15240   12.5354099       13.1709146       12.5451145    
       15300   12.5265570       13.1636162       12.5432653    
       15360   12.5160656       13.1568384       12.5408936    
       15420   12.5052462       13.1501875       12.5386429    
       15480   12.4945898       13.1431713       12.5365744    
       15540   12.4822950       13.1360998       12.5338545    
       15600   12.4696722       13.1293993       12.5313616    
       15660   12.4567213       13.1229572       12.5299435    
       15720   12.4439344       13.1168261       12.5293159    
       15780   12.4306555       13.1117983       12.5277185    
       15840   12.4173775       13.1074858       12.5244284    
       15900   12.4027872       13.1035404       12.5208521    
       15960   12.3881969       13.0995932       12.5172243    
       16020   12.3755741       13.0952501       12.5131521    
       16080   12.3624592       13.0905428       12.5074434    
       16140   12.3503275       13.0854607       12.5003805    
