 20190702
 Seconds  Measures(WS-m/s)  Meso-NH(WS-m/s)  FORECAST_AR(WS-m/s)
        3660   14.3340988       9.47625828       14.5172415    
        3720   14.3475409       9.61372471       14.5664606    
        3780   14.3827868       9.74693775       14.6126347    
        3840   14.4380331       9.87683773       14.6408997    
        3900   14.4768848       10.0082083       14.6630230    
        3960   14.4913111       10.1373777       14.6838846    
        4020   14.5278692       10.2539892       14.6931992    
        4080   14.5660658       10.3565731       14.6960945    
        4140   14.5896721       10.4517431       14.7031174    
        4200   14.5549183       10.5397434       14.7005234    
        4260   14.5145903       10.6191778       14.7028646    
        4320   14.5093441       10.6921482       14.7021160    
        4380   14.5073767       10.7616558       14.6948481    
        4440   14.5118036       10.8298969       14.6691942    
        4500   14.5042620       10.8956156       14.6348991    
        4560   14.4559021       10.9528122       14.6021671    
        4620   14.3763933       10.9973545       14.5731382    
        4680   14.3132792       11.0321846       14.5395336    
        4740   14.3070488       11.0641737       14.5140705    
        4800   14.2513113       11.0978384       14.4953747    
        4860   14.2078686       11.1342983       14.4706163    
        4920   14.2127867       11.1727028       14.4406929    
        4980   14.1942625       11.2107067       14.4056740    
        5040   14.2147541       11.2438145       14.3652210    
        5100   14.1675406       11.2685604       14.3041859    
        5160   14.0939341       11.2842617       14.2286510    
        5220   14.0390167       11.2891464       14.1532955    
        5280   14.0177050       11.2801714       14.0977030    
        5340   14.0004921       11.2570848       14.0627470    
        5400   13.9832783       11.2301702       14.0410881    
        5460   13.9250822       11.2202291       14.0175619    
        5520   13.8463936       11.2405500       13.9905815    
        5580   13.7718029       11.2756138       13.9613523    
        5640   13.7218037       11.3013601       13.9513903    
        5700   13.6280327       11.3197927       13.9546652    
        5760   13.5747538       11.3391056       13.9673519    
        5820   13.5542622       11.3669386       13.9948521    
        5880   13.4924593       11.4099092       14.0420227    
        5940   13.4165573       11.4638081       14.0811415    
        6000   13.3932791       11.5305109       14.0895691    
        6060   13.3659019       11.6150455       14.0800171    
        6120   13.3465576       11.7019291       14.0689173    
        6180   13.2913113       11.7658768       14.0659742    
        6240   13.2983608       11.8045273       14.0719423    
        6300   13.2450819       11.8341990       14.0717707    
        6360   13.1942625       11.8710852       14.0582390    
        6420   13.1762295       11.9212227       14.0497341    
        6480   13.1786880       11.9733028       14.0565138    
        6540   13.1290159       12.0114546       14.0744171    
        6600   13.0363932       12.0451775       14.0928545    
        6660   13.0060654       12.0924845       14.1083288    
        6720   12.9904919       12.1519861       14.1239157    
        6780   12.9378691       12.2125816       14.1421719    
        6840   12.8878689       12.2705278       14.1553783    
        6900   12.8711472       12.3260612       14.1513214    
        6960   12.8521309       12.3796530       14.1194963    
        7020   12.8378687       12.4224529       14.0566702    
        7080   12.7973766       12.4379244       13.9676266    
        7140   12.7552462       12.4171982       13.8686266    
        7200   12.7183609       12.3648138       13.7765265    
        7260   12.6998358       12.2928076       12.6138840    
        7320   12.6731148       12.2138758       12.6032581    
        7380   12.6706562       12.1387196       12.5807981    
        7440   12.6575413       12.0720682       12.5617619    
        7500   12.6214752       12.0082979       12.5571756    
        7560   12.5826225       11.9423199       12.5592213    
        7620   12.5277052       11.8846292       12.6002693    
        7680   12.4649181       11.8396778       12.6721535    
        7740   12.4193439       11.8052282       12.7350512    
        7800   12.3878689       11.7975626       12.7802467    
        7860   12.3911476       11.8299589       12.8303118    
        7920   12.4175406       11.8763542       12.8791008    
        7980   12.4085245       11.9100342       12.9152136    
        8040   12.4186888       11.9402580       12.9502506    
        8100   12.4036064       11.9755869       13.0033865    
        8160   12.3913116       12.0127382       13.0628157    
        8220   12.4216394       12.0523567       13.1424236    
        8280   12.4285250       12.0976391       13.2552280    
        8340   12.4239340       12.1507998       13.3902016    
        8400   12.3903275       12.2206049       13.5229254    
        8460   12.3886881       12.3210344       13.6549349    
        8520   12.3865576       12.4483557       13.8001680    
        8580   12.3747540       12.5843582       13.9541492    
        8640   12.3883610       12.7217684       14.1065226    
        8700   12.3536062       12.8596840       14.2603998    
        8760   12.3363934       12.9987135       14.4194155    
        8820   12.3593445       13.1388130       14.5672569    
        8880   12.3729506       13.2785530       14.7016745    
        8940   12.3849182       13.4170637       14.8231144    
        9000   12.4026232       13.5459032       14.9460020    
        9060   12.4034424       13.6549673       15.0685959    
        9120   12.4099998       13.7440367       15.1918783    
        9180   12.4304914       13.8336611       15.3094654    
        9240   12.4652462       13.9390354       15.4131165    
        9300   12.4783611       14.0472269       15.4898949    
        9360   12.5008192       14.1494989       15.5533848    
        9420   12.4991808       14.2370796       15.6051426    
        9480   12.5160656       14.3015699       15.6253605    
        9540   12.5262299       14.3547020       15.6140385    
        9600   12.5303278       14.3959036       15.6098804    
        9660   12.5249176       14.4063768       15.6320648    
        9720   12.5077047       14.3923588       15.6643343    
        9780   12.4937706       14.3856125       15.6911983    
        9840   12.4863930       14.3979168       15.7125854    
        9900   12.4490166       14.4143543       15.7335930    
        9960   12.4673767       14.4197178       15.7709112    
       10020   12.4554100       14.4144573       15.8283138    
       10080   12.4160652       14.4154034       15.8823023    
