 20190210
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       32280   1.63428569       1.71606767       1.77948856    
       32340   1.61452377       1.71606767       1.77558446    
       32400   1.59939027       1.70940113       1.77222466    
       32460   1.60204756       1.70940113       1.76916921    
       32520   1.58964288       1.70396042       1.76626825    
       32580   1.58276188       1.70396042       1.76332498    
       32640   1.56914639       1.70072520       1.76053977    
       32700   1.57430947       1.70072520       1.75859511    
       32760   1.57633328       1.69882774       1.75762820    
       32820   1.57473171       1.69882774       1.75739241    
       32880   1.57656097       1.69772816       1.75788069    
       32940   1.57845235       1.69772816       1.75937963    
       33000   1.58002377       1.70055640       1.76198602    
       33060   1.56978571       1.70055640       1.76579332    
       33120   1.55656099       1.70644522       1.77085006    
       33180   1.55752385       1.70644522       1.77694452    
       33240   1.55592859       1.71673155       1.78370678    
       33300   1.55676186       1.71673155       1.79101300    
       33360   1.56065857       1.73168015       1.79832852    
       33420   1.56111908       1.73168015       1.80516887    
       33480   1.56814289       1.74912012       1.81118572    
       33540   1.56971431       1.74912012       1.81632876    
       33600   1.57031703       1.76694107       1.82019818    
       33660   1.56752384       1.76694107       1.82333636    
       33720   1.56716669       1.78145945       1.82616806    
       33780   1.57252383       1.78145945       1.82925165    
       33840   1.57951224       1.79070616       1.83372116    
       33900   1.57969046       1.79070616       1.83916783    
       33960   1.58140481       1.79864609       1.84663475    
       34020   1.58814287       1.79864609       1.85593903    
       34080   1.58814287       1.81222641       1.86629999    
       34140   1.58813953       1.81222641       1.87735403    
       34200   1.58413637       1.83384633       1.88754225    
       34260   1.58153331       1.83384633       1.89710641    
       34320   1.58153331       1.85962725       1.90630054    
       34380   1.58324444       1.85962725       1.91494262    
       34440   1.57776082       1.88198161       1.92317998    
       34500   1.57423913       1.88198161       1.93081856    
       34560   1.57551110       1.90268815       1.93803787    
       34620   1.56847823       1.90268815       1.94484460    
       34680   1.56623912       1.92178869       1.95171571    
       34740   1.56132615       1.92178869       1.95901382    
       34800   1.56132615       1.93908739       1.96616459    
       34860   1.55756521       1.93908739       1.97348154    
       34920   1.54921734       1.95648682       1.98100901    
       34980   1.54050004       1.95648682       1.98858476    
       35040   1.54050004       1.97323513       1.99641645    
       35100   1.52856517       1.97323513       2.00399327    
       35160   1.51650000       1.99068224       2.01093578    
       35220   1.50893474       1.99068224       2.01743507    
       35280   1.50808513       2.00898242       2.02300882    
       35340   1.50876093       2.00898242       2.02761936    
       35400   1.51819563       2.02459216       2.03123140    
       35460   1.52210867       2.02459216       2.03403401    
       35520   1.52210867       2.03633571       2.03599334    
       35580   1.51782608       2.03633571       2.03778291    
       35640   1.51082611       2.04387188       2.04051495    
       35700   1.50693333       2.04387188       2.04474354    
       35760   1.49615550       2.04789400       2.05049539    
       35820   1.48636961       2.04789400       2.05713964    
       35880   1.47284782       2.05543375       1.81711042    
       35940   1.47062218       2.05543375       1.82648611    
       36000   1.46120000       2.06871819       1.83612001    
       36060   1.45347822       2.06871819       1.84605086    
       36120   1.43910873       2.08427978       1.85616410    
       36180   1.43797779       2.08427978       1.86666727    
       36240   1.42937779       2.10067081       1.87707758    
       36300   1.42086959       2.10067081       1.88722813    
       36360   1.40541303       2.11743116       1.89680910    
       36420   1.39462221       2.11743116       1.90566766    
       36480   1.38969564       2.13337660       1.91347599    
       36540   1.37917387       2.13337660       1.92025769    
       36600   1.37471735       2.14711690       1.92621171    
       36660   1.37044442       2.14711690       1.93135190    
       36720   1.36842227       2.15666485       1.93556857    
       36780   1.36982608       2.15666485       1.93875086    
       36840   1.36741304       2.16309643       1.94043720    
       36900   1.36046672       2.16309643       1.94093645    
       36960   1.35297775       2.16539621       1.93997145    
       37020   1.35402179       2.16539621       1.93808985    
       37080   1.34891307       2.16187763       1.93602121    
       37140   1.34402180       2.16187763       1.93411756    
       37200   1.34051108       2.15261745       1.93301094    
       37260   1.34002173       2.15261745       1.93313384    
       37320   1.33599997       2.14245033       1.93500865    
       37380   1.33123910       2.14245033       1.93819904    
       37440   1.32831109       2.13538504       1.94213152    
       37500   1.32886958       2.13538504       1.94565856    
       37560   1.32360864       2.13527131       1.94840586    
       37620   1.32306516       2.13527131       1.94936454    
       37680   1.31304443       2.13816810       1.94899786    
       37740   1.31397831       2.13816810       1.94813871    
       37800   1.30999994       2.13805723       1.94684374    
       37860   1.30771744       2.13805723       1.94665909    
       37920   1.30417776       2.13297796       1.94678473    
       37980   1.30469561       2.13297796       1.94696045    
       38040   1.30645657       2.12620211       1.94697177    
       38100   1.30969560       2.12620211       1.94666457    
       38160   1.31099999       2.12085819       1.94611692    
       38220   1.31960869       2.12085819       1.94514430    
       38280   1.33117390       2.11510396       1.94351268    
       38340   1.34297824       2.11510396       1.94073474    
       38400   1.34475553       2.10856366       1.93690538    
       38460   1.35217392       2.10856366       1.93258703    
       38520   1.36463046       2.09959674       1.92805231    
       38580   1.37182605       2.09959674       1.92326903    
       38640   1.37071109       2.08665800       1.91833174    
       38700   1.37378263       2.08665800       1.91303086    
       38760   1.37563038       2.07312465       1.90736580    
       38820   1.38076091       2.07312465       1.90173936    
       38880   1.38691306       2.05915356       1.89667535    
       38940   1.38508892       2.05915356       1.89266968    
       39000   1.38736951       2.04403567       1.88975215    
       39060   1.38756526       2.04403567       1.88794136    
       39120   1.38958693       2.03131461       1.88681626    
       39180   1.38958693       2.03131461       1.88640535    
       39240   1.39278257       2.02304649       1.88669932    
       39300   1.39300001       2.02304649       1.88658488    
       39360   1.39463830       2.01774406       1.88645327    
       39420   1.40152168       2.01774406       1.88627553    
       39480   1.41276085       2.01542735       1.32159066    
       39540   1.42495656       2.01542735       1.32694912    
       39600   1.42670214       2.01320505       1.33260369    
       39660   1.43569565       2.01320505       1.33791399    
       39720   1.44639134       2.01134658       1.34264946    
       39780   1.46367395       2.01134658       1.34700525    
       39840   1.46931911       2.01052332       1.35062039    
       39900   1.47654343       2.01052332       1.35392427    
       39960   1.49393475       2.00737143       1.35669363    
       40020   1.51030433       2.00737143       1.35915124    
       40080   1.51765954       2.00158262       1.36102676    
       40140   1.52526093       2.00158262       1.36256063    
       40200   1.53534782       1.99368441       1.36393440    
       40260   1.54023910       1.99368441       1.36485302    
       40320   1.54023910       1.98332250       1.36550355    
       40380   1.54869568       1.98332250       1.36601567    
       40440   1.55571735       1.97219145       1.36644983    
       40500   1.55726671       1.97219145       1.36724889    
       40560   1.56306517       1.96017909       1.36857033    
       40620   1.57330430       1.96017909       1.37072229    
       40680   1.58434784       1.94785130       1.37379789    
       40740   1.58966672       1.94785130       1.37705302    
       40800   1.60215557       1.93745208       1.38073027    
       40860   1.60776091       1.93745208       1.38425839    
       40920   1.62067389       1.93112528       1.38754284    
       40980   1.62851107       1.93112528       1.39005828    
       41040   1.64853334       1.92708397       1.39167702    
       41100   1.65699995       1.92708397       1.39294577    
       41160   1.67065215       1.92252851       1.39373970    
       41220   1.68221736       1.92252851       1.39441717    
       41280   1.68542218       1.91488183       1.39478445    
       41340   1.68730438       1.91488183       1.39431226    
       41400   1.69945657       1.90574241       1.39275873    
       41460   1.71682608       1.90574241       1.39003325    
       41520   1.72593331       1.89552033       1.38610590    
       41580   1.73947823       1.89552033       1.38173199    
       41640   1.76519561       1.88130999       1.37709284    
       41700   1.78323913       1.88130999       1.37241960    
       41760   1.78997779       1.86273670       1.36815047    
       41820   1.80045652       1.86273670       1.36422551    
       41880   1.80741310       1.84348202       1.36090362    
       41940   1.80793333       1.84348202       1.35844696    
       42000   1.80879545       1.82625139       1.35658789    
       42060   1.81402218       1.82625139       1.35525644    
       42120   1.81693184       1.81184673       1.35455942    
       42180   1.82470453       1.81184673       1.35422623    
       42240   1.84370458       1.80028629       1.35425031    
       42300   1.84370458       1.80028629       1.35453832    
       42360   1.86777270       1.79167449       1.35499942    
       42420   1.89372730       1.79167449       1.35560989    
       42480   1.91652274       1.78494501       1.35607529    
       42540   1.92325580       1.78494501       1.35587037    
       42600   1.94022727       1.77937973       1.35488391    
       42660   1.96461368       1.77937973       1.35307539    
       42720   1.97734094       1.77372301       1.35051680    
       42780   1.98483717       1.77372301       1.34762621    
       42840   1.98834085       1.76546097       1.34459925    
       42900   2.00697732       1.76546097       1.34144831    
       42960   2.03399992       1.75460625       1.33853626    
       43020   2.06115913       1.75460625       1.33548987    
       43080   2.06115913       1.74355793       1.44620860    
       43140   2.08945465       1.74355793       1.44131994    
       43200   2.11784101       1.73384869       1.43612587    
       43260   2.14765906       1.73384869       1.43060100    
       43320   2.14765906       1.72410846       1.42456794    
       43380   2.16044188       1.72410846       1.41824889    
       43440   2.16795230       1.71345472       1.41131437    
       43500   2.16178560       1.71345472       1.40412331    
       43560   2.16178560       1.70119345       1.39646745    
       43620   2.15911913       1.70119345       1.38862336    
       43680   2.16028571       1.68673956       1.38076341    
       43740   2.16770720       1.68673956       1.37316990    
       43800   2.15728569       1.67084658       1.36638486    
       43860   2.15564275       1.67084658       1.36031139    
       43920   2.15285707       1.65503037       1.35520375    
       43980   2.14599991       1.65503037       1.35088110    
       44040   2.15759516       1.64285779       1.34779966    
       44100   2.15852380       1.64285779       1.34593081    
       44160   2.15427899       1.63482475       1.34528792    
       44220   2.15569758       1.63482475       1.34571970    
       44280   2.16333342       1.63172221       1.34682465    
       44340   2.16700006       1.63172221       1.34839571    
       44400   2.16030240       1.63352144       1.35022640    
       44460   2.15430236       1.63352144       1.35201335    
       44520   2.16130948       1.63799739       1.35383081    
       44580   2.15407133       1.63799739       1.35582399    
       44640   2.13562799       1.64345253       1.35768497    
       44700   2.11995339       1.64345253       1.35955942    
       44760   2.12190485       1.64908803       1.36159062    
       44820   2.10423803       1.64908803       1.36386263    
       44880   2.08540487       1.65404034       1.36643851    
       44940   2.06769776       1.65404034       1.36957848    
       45000   2.07473803       1.65936553       1.37314153    
       45060   2.05949998       1.65936553       1.37737012    
       45120   2.03480959       1.66596711       1.38212132    
       45180   2.01018596       1.66596711       1.38741314    
       45240   2.00211906       1.67419362       1.39283693    
       45300   1.97366667       1.67419362       1.39823568    
       45360   1.94554758       1.68441689       1.40392578    
       45420   1.92681396       1.68441689       1.40944505    
       45480   1.91859519       1.69507670       1.41436327    
       45540   1.90226185       1.69507670       1.41840458    
       45600   1.89409304       1.70676959       1.42173564    
       45660   1.88472724       1.70676959       1.42461479    
       45720   1.88102329       1.71600926       1.42733419    
       45780   1.87334096       1.71600926       1.42979252    
       45840   1.86195457       1.72228384       1.43209779    
       45900   1.84229541       1.72228384       1.43424034    
       45960   1.84229541       1.72779572       1.43594098    
       46020   1.82554543       1.72779572       1.43729389    
       46080   1.80045450       1.73251760       1.43846655    
       46140   1.76995456       1.73251760       1.43977058    
       46200   1.76995456       1.73532557       1.44172490    
       46260   1.74293184       1.73532557       1.44444966    
       46320   1.71972728       1.73728621       1.44794071    
       46380   1.70536363       1.73728621       1.45214474    
       46440   1.70536363       1.74161160       1.45682228    
       46500   1.68881822       1.74161160       1.46178210    
       46560   1.66834092       1.74875665       1.46735620    
       46620   1.64425004       1.74875665       1.47317016    
       46680   1.62051165       1.75761282       2.41911077    
       46740   1.61672723       1.75761282       2.41653204    
       46800   1.58375001       1.76871574       2.41349888    
       46860   1.54875004       1.76871574       2.41017509    
       46920   1.51920927       1.77914119       2.40657115    
       46980   1.51543176       1.77914119       2.40279603    
       47040   1.51213336       1.78822899       2.39874291    
       47100   1.50571740       1.78822899       2.39477539    
       47160   1.50143480       1.79607248       2.39105535    
       47220   1.50143480       1.79607248       2.38777637    
       47280   1.49436951       1.80327010       2.38507605    
       47340   1.48680437       1.80327010       2.38285422    
       47400   1.48680437       1.81158519       2.38110924    
       47460   1.48117387       1.81158519       2.37931132    
       47520   1.47662222       1.82229030       2.37732148    
       47580   1.48039997       1.82229030       2.37494445    
       47640   1.47181821       1.83503377       2.37235665    
       47700   1.47833335       1.83503377       2.36918044    
       47760   1.47642219       1.84728193       2.36566305    
       47820   1.46275556       1.84728193       2.36177349    
       47880   1.45315909       1.85865164       2.35739374    
       47940   1.45762217       1.85865164       2.35288024    
       48000   1.44397783       1.86844289       2.34799504    
       48060   1.43653333       1.86844289       2.34296131    
       48120   1.43170452       1.87620902       2.33744454    
       48180   1.43282223       1.87620902       2.33138394    
       48240   1.42817783       1.88231719       2.32482076    
       48300   1.43022227       1.88231719       2.31801963    
       48360   1.42986369       1.88592219       2.31083012    
       48420   1.43931115       1.88592219       2.30310750    
       48480   1.45084441       1.88693190       2.29450083    
       48540   1.45913637       1.88693190       2.28493786    
       48600   1.46854544       1.88618958       2.27595472    
       48660   1.47664440       1.88618958       2.26772761    
       48720   1.48122728       1.88164485       2.26047826    
       48780   1.49247730       1.88164485       2.25439644    
       48840   1.50800002       1.87919044       2.24876475    
       48900   1.50288892       1.87919044       2.24401832    
       48960   1.50713634       1.88023329       2.23977137    
       49020   1.51234090       1.88023329       2.23571181    
       49080   1.52072728       1.88243806       2.23205090    
       49140   1.52175558       1.88243806       2.22919488    
       49200   1.52586365       1.88598585       2.22729683    
       49260   1.52770460       1.88598585       2.22619271    
       49320   1.52993178       1.89036441       2.22593451    
       49380   1.53562224       1.89036441       2.22621584    
       49440   1.53933334       1.89786482       2.22676349    
       49500   1.53481817       1.89786482       2.22746325    
       49560   1.53668177       1.90802968       2.22833204    
       49620   1.53820002       1.90802968       2.22965360    
       49680   1.53522217       1.91857362       2.23144245    
       49740   1.53602278       1.91857362       2.23353100    
       49800   1.54015911       1.92913508       2.23617721    
       49860   1.54728889       1.92913508       2.23887205    
       49920   1.54840004       1.94089913       2.24167323    
       49980   1.54854548       1.94089913       2.24459219    
       50040   1.55293179       1.95425725       2.24764991    
