 20180928
 Seconds  Measures(SEE-arcsec)  Meso-NH(SEE-arcsec)  FORECAST_AR(SEE-arcsec)
       28680   1.09010816      0.841025531       1.14227462    
       28740   1.09010816      0.841025531       1.14142275    
       28800   1.08597219      0.842297614       1.14009798    
       28860   1.08225715      0.842297614       1.13795519    
       28920   1.08225715      0.843683958       1.13516009    
       28980   1.08091176      0.843683958       1.13169348    
       29040   1.08221209      0.843379378       1.12773037    
       29100   1.08226466      0.843379378       1.12332714    
       29160   1.07741177      0.840809762       1.11882317    
       29220   1.07769692      0.840809762       1.11507285    
       29280   1.05912125      0.836395383       1.11212230    
       29340   1.04888237      0.836395383       1.10991323    
       29400   1.00085294      0.831815660       1.10796225    
       29460  0.992454529      0.831815660       1.10623729    
       29520  0.983545482      0.830323875       1.10415089    
       29580  0.978999972      0.830323875       1.10135639    
       29640  0.960176468      0.829905391       1.09822023    
       29700  0.948303044      0.829905391       1.09434855    
       29760  0.935969710      0.828186929       1.08961844    
       29820  0.928058803      0.828186929       1.08446980    
       29880  0.916000009      0.825202405       1.07839632    
       29940  0.900848508      0.825202405       1.07258189    
       30000  0.889484823      0.818986654       1.06720746    
       30060  0.883882344      0.818986654       1.06224740    
       30120  0.872411788      0.809096277       1.05826545    
       30180  0.871515155      0.809096277       1.05427051    
       30240  0.871090889      0.801035523       1.05028546    
       30300  0.868676484      0.801035523       1.04639935    
       30360  0.856794119      0.796647012       1.04268169    
       30420  0.850454569      0.796647012       1.03935409    
       30480  0.842941165      0.792337179       1.03622222    
       30540  0.836499989      0.792337179       1.03344226    
       30600  0.834294140      0.788491964       1.03091669    
       30660  0.822735310      0.788491964       1.02836990    
       30720  0.815878808      0.785410225       1.02566087    
       30780  0.813058853      0.785410225       1.02252150    
       30840  0.802823544      0.783245683       1.01915824    
       30900  0.782205880      0.783245683       1.01545680    
       30960  0.782205880      0.780382812       1.01179087    
       31020  0.776764691      0.780382812       1.00816548    
       31080  0.774882376      0.776571989       1.00445127    
       31140  0.773176491      0.776571989       1.00062454    
