 20190712
 Seconds  Measures(GLF-%)  Meso-NH(GLF-%)  FORECAST_AR(GLF-%)
       25080   60.1263161       51.4575615       61.4210281    
       25140   60.4487190       51.4575615       61.7084694    
       25200   60.7868423       51.2888184       62.0793381    
       25260   61.3894730       51.2888184       62.3464966    
       25320   61.6333351       51.1754608       62.6268120    
       25380   62.2052650       51.1754608       62.8946152    
       25440   62.7157898       51.4817734       63.1253853    
       25500   62.8210526       51.4817734       63.3941269    
       25560   62.7589760       51.6561737       63.7457771    
       25620   62.8894730       51.6561737       64.0222244    
       25680   62.7743607       51.5914307       64.3237381    
       25740   62.6871796       51.5914307       64.5576553    
       25800   62.5974350       51.9236259       64.7047119    
       25860   62.4815788       51.9236259       64.8721771    
       25920   62.6615372       52.1634865       65.0716858    
       25980   62.7947350       52.1634865       65.2635956    
       26040   62.7864876       52.1952248       65.5288162    
       26100   62.9648666       52.1952248       65.8104782    
       26160   63.0763168       52.3176575       66.0811539    
       26220   63.3526306       52.3176575       66.3259354    
       26280   63.3837852       52.6721687       66.5211334    
       26340   63.5026321       52.6721687       66.6455536    
       26400   63.7131577       53.0949211       66.7460709    
       26460   64.2763138       53.0949211       66.9299164    
       26520   64.6162186       53.2359962       67.1803131    
       26580   64.6162186       53.2359962       67.4079514    
       26640   64.9567566       53.4438515       67.6617889    
       26700   65.2222214       53.4438515       67.9472351    
       26760   65.1444473       53.8186073       68.2382584    
       26820   65.1444473       53.8186073       68.5920486    
       26880   65.0500031       54.2425346       68.9048309    
       26940   65.0222244       54.2425346       69.1492691    
       27000   64.8027802       54.7813110       69.4187393    
       27060   64.8027802       54.7813110       69.7078857    
       27120   64.6222229       55.2325211       69.9512558    
       27180   64.1054077       55.2325211       70.2464676    
       27240   64.1054077       55.7509003       70.5812225    
       27300   63.5605278       55.7509003       70.8690033    
       27360   63.0333328       56.2514496       71.0784531    
       27420   62.1641045       56.2514496       71.2383652    
       27480   62.1105270       56.7833405       71.3923798    
       27540   61.7263145       56.7833405       71.5783615    
       27600   61.7263145       57.0897141       71.7342682    
       27660   61.5378380       57.0897141       71.8318787    
       27720   61.2500000       57.4258842       71.9104919    
       27780   60.9971428       57.4258842       71.9670486    
       27840   60.9971428       57.6543045       71.9759140    
       27900   60.9588242       57.6543045       72.0215988    
       27960   60.7939377       57.8250160       72.1520309    
       28020   60.4406242       57.8250160       72.2920609    
       28080   60.4406242       57.7934418       72.4095230    
       28140   60.6709671       57.7934418       72.5708694    
       28200   60.2700005       58.1647835       72.7205734    
       28260   60.2700005       58.1647835       72.8712234    
       28320   59.8862076       58.4997711       72.9722137    
       28380   59.8862076       58.4997711       72.9906769    
       28440   59.8862076       58.8099480       72.9789963    
       28500   59.8862076       58.8099480       72.9735260    
       28560   59.8862076       58.9184265       72.9652557    
       28620   59.7392845       58.9184265       72.9758301    
       28680   59.5962944       58.9578362       57.9696236    
       28740   59.5962944       58.9578362       57.7499046    
       28800   59.0923080       58.9673729       57.5143700    
       28860   59.0923080       58.9673729       57.2006187    
       28920   59.0680008       59.1967850       56.8678703    
       28980   58.3839989       59.1967850       56.4893112    
       29040   58.3846169       59.3678818       56.0884819    
       29100   58.0919991       59.3678818       55.7018127    
       29160   57.8320007       59.3065529       55.3279648    
       29220   57.5919991       59.3065529       54.9272423    
       29280   56.7461548       59.0720558       54.5481377    
       29340   56.6800003       59.0720558       54.1654358    
       29400   56.1479988       58.8375130       53.8139839    
       29460   55.5719986       58.8375130       53.5020981    
       29520   54.9500008       58.6315308       53.2335129    
       29580   54.3680000       58.6315308       53.0202942    
       29640   53.7769241       58.5472183       52.8732071    
       29700   53.6481476       58.5472183       52.7445335    
       29760   53.0481491       58.5438881       52.5613518    
       29820   52.5038452       58.5438881       52.3341522    
       29880   51.7461548       58.7783127       52.0809212    
       29940   51.3444443       58.7783127       51.8587418    
       30000   50.5592575       58.7829437       51.6878586    
       30060   49.9730759       58.7829437       51.4950867    
       30120   49.0307693       58.7020378       51.2897491    
       30180   48.7481499       58.7020378       51.1216583    
       30240   48.5928574       58.7386703       50.9676552    
       30300   48.0037041       58.7386703       50.7506714    
       30360   48.2000008       58.7742805       50.4353752    
       30420   48.0142860       58.7742805       50.0350571    
       30480   47.8344841       58.6855087       49.6101646    
       30540   47.4785728       58.6855087       49.2238541    
       30600   47.1785698       58.2058144       48.9403152    
       30660   46.6892853       58.2058144       48.6779213    
       30720   45.9551735       57.5992317       48.4161873    
       30780   45.5642853       57.5992317       48.1873817    
       30840   44.7750015       57.3392143       47.9878120    
       30900   44.3827591       57.3392143       47.8205833    
       30960   44.2241364       57.0681992       47.7237244    
       31020   44.2678566       57.0681992       47.7225113    
       31080   45.0607147       56.8867836       47.7980042    
       31140   45.5413780       56.8867836       47.8762169    
       31200   46.0206909       56.9669991       47.9263954    
       31260   46.0206909       56.9669991       48.0089989    
       31320   46.2933350       57.3324738       48.0874748    
       31380   46.2806435       57.3324738       48.1144485    
       31440   46.4937515       57.5399399       48.1757240    
       31500   46.4937515       57.5399399       48.2767181    
       31560   46.5151520       57.7137871       48.4160614    
       31620   46.7117653       57.7137871       48.5440254    
       31680   46.6942863       58.0529633       48.5922508    
       31740   46.6942863       58.0529633       48.6001663    
       31800   46.7111130       58.5287209       48.5505371    
       31860   47.0513496       58.5287209       48.4863777    
       31920   47.5736847       58.6796112       48.4296684    
       31980   48.0974350       58.6796112       48.4418488    
       32040   48.0974350       58.5911446       48.5317421    
       32100   48.1575012       58.5911446       48.6425285    
       32160   48.4731712       58.5383415       48.6977806    
       32220   48.4731712       58.5383415       48.7094154    
       32280   48.8690491       58.7782249       48.9964371    
       32340   48.8162804       58.7782249       49.0155602    
       32400   48.8886375       58.8020058       49.0342941    
       32460   48.8886375       58.8020058       49.1325035    
       32520   48.8711128       58.8663712       49.2585564    
       32580   48.6717377       58.8663712       49.3735695    
       32640   48.6869583       58.9582901       49.5036850    
       32700   48.4711113       58.9582901       49.7072067    
       32760   48.6739120       59.1592941       49.8840027    
       32820   48.7195663       59.1592941       50.0517578    
       32880   48.2804337       59.6028595       50.2207375    
       32940   48.5622215       59.6028595       50.3525314    
       33000   48.8282623       59.8135147       50.4626198    
       33060   48.5695648       59.8135147       50.5022125    
       33120   48.5499992       60.0554848       50.4976730    
       33180   48.7533340       60.0554848       50.4850121    
       33240   48.7652168       60.1149712       50.4484634    
       33300   49.2413025       60.1149712       50.4156570    
       33360   49.6391296       60.0915184       50.3455849    
       33420   49.6155548       60.0915184       50.3086777    
       33480   49.8326073       59.9740715       50.2551956    
       33540   50.2804337       59.9740715       50.2199821    
       33600   50.4888878       59.6878586       50.2015152    
       33660   51.0600014       59.6878586       50.2086716    
       33720   51.3717384       59.5330391       50.2391014    
       33780   51.4511108       59.5330391       50.2919235    
       33840   52.2555542       59.3841133       50.3397789    
       33900   52.8333321       59.3841133       50.4197273    
       33960   53.3956528       59.3844490       50.4823074    
       34020   53.3933334       59.3844490       50.5846405    
       34080   53.8111115       59.4243088       50.7424622    
       34140   54.3844452       59.4243088       50.8926697    
       34200   54.7413025       59.4762802       51.0309219    
       34260   55.0044441       59.4762802       51.1181068    
       34320   55.6399994       59.7111816       51.1748924    
       34380   56.7311096       59.7111816       51.1987686    
       34440   57.0760880       59.9062233       51.1890793    
       34500   57.8244438       59.9062233       51.1877594    
       34560   58.7577782       59.9017601       51.1839867    
       34620   59.4044456       59.9017601       51.1477699    
       34680   59.4913025       59.8482666       51.0546494    
       34740   59.7244453       59.8482666       50.9250717    
       34800   60.0400009       59.6741066       50.7413788    
       34860   60.1066666       59.6741066       50.5594940    
       34920   60.5152168       59.3212509       50.3826180    
       34980   60.6555557       59.3212509       50.2337036    
       35040   61.2511101       58.8299141       50.1123581    
       35100   61.6466675       58.8299141       49.9397774    
       35160   62.0695648       58.3521805       49.7912827    
       35220   62.4000015       58.3521805       49.6564980    
       35280   62.8400002       58.0305672       49.4718323    
       35340   63.4555550       58.0305672       49.2928848    
       35400   63.7913055       57.7438927       49.1341324    
       35460   64.1577759       57.7438927       48.9943123    
       35520   64.6444473       57.2401924       48.8694305    
       35580   64.8022232       57.2401924       48.7364616    
       35640   65.0755539       56.8215256       48.6161537    
       35700   65.0755539       56.8215256       48.4848289    
       35760   65.6911087       56.4595757       48.3784599    
       35820   66.0111084       56.4595757       48.3706665    
       35880   66.0369568       56.1179428       66.6942902    
       35940   66.0577774       56.1179428       67.1185760    
       36000   66.5022202       55.8839531       67.4709473    
       36060   67.0288925       55.8839531       67.7418671    
       36120   67.1695633       55.8169899       67.9406891    
       36180   67.5933304       55.8169899       68.1057281    
       36240   68.5133362       55.6111298       68.2456284    
       36300   69.0866699       55.6111298       68.3693466    
       36360   69.1239166       55.2560806       68.4320068    
       36420   69.3755569       55.2560806       68.5295410    
       36480   69.8177795       54.9111404       68.6708374    
       36540   70.9088898       54.9111404       68.8752060    
       36600   71.0760880       54.3888168       69.0950623    
       36660   71.3044434       54.3888168       69.3308792    
       36720   72.3511124       54.1889229       69.5436554    
       36780   73.1177750       54.1889229       69.7018356    
       36840   73.3369598       54.0260544       69.8816757    
       36900   74.0934753       54.0260544       70.0854034    
       36960   74.3866653       53.8935127       70.2467880    
       37020   74.7733307       53.8935127       70.4311142    
       37080   74.9347839       53.7590637       70.6551819    
       37140   75.3413010       53.7590637       70.9228439    
       37200   75.4866638       53.6605644       71.1773758    
       37260   75.5304337       53.6605644       71.4249420    
       37320   75.6086960       53.6495399       71.5981979    
       37380   75.6108704       53.6495399       71.6950760    
       37440   75.6108704       53.7060089       71.7849655    
       37500   75.6413040       53.7060089       71.8809052    
       37560   76.0239105       53.6854782       71.9277039    
       37620   75.9644470       53.6854782       72.0045624    
       37680   76.1347809       53.6358833       72.0955734    
       37740   76.3717422       53.6358833       72.1977768    
       37800   76.6847839       53.4366493       72.2868423    
       37860   76.8155518       53.4366493       72.3747253    
       37920   76.9108658       53.3395882       72.4526443    
       37980   77.0021744       53.3395882       72.4999008    
       38040   77.1239166       53.2284927       72.5348511    
       38100   77.2244415       53.2284927       72.5636673    
       38160   77.2391281       53.1355057       72.5948792    
       38220   77.3478241       53.1355057       72.6259689    
       38280   77.7391281       53.0142822       72.6350555    
       38340   78.0577774       53.0142822       72.6657486    
       38400   78.0577774       52.9306984       72.7029877    
       38460   78.1681824       52.9306984       72.7289886    
       38520   78.3418579       52.8837547       72.7457733    
       38580   78.3285751       52.8837547       72.7518463    
       38640   78.3285751       52.8063507       72.8100586    
       38700   78.4658508       52.8063507       72.9160995    
       38760   78.6549988       52.7771378       73.0698166    
       38820   78.5923080       52.7771378       73.1855469    
       38880   78.5923080       52.9411583       73.2271576    
       38940   78.7394714       52.9411583       73.2556992    
       39000   78.9578934       53.2509308       73.3031082    
       39060   78.9594574       53.2509308       73.3576126    
       39120   78.7210541       53.2941628       73.3998489    
       39180   78.7105255       53.2941628       73.4271927    
       39240   78.6447372       53.4241028       73.4861374    
       39300   78.5999985       53.4241028       73.5587540    
       39360   78.6026306       53.4790955       73.6461639    
       39420   78.8394699       53.4790955       73.7137604    
       39480   78.9297333       53.6916618       80.1884460    
       39540   79.3378372       53.6916618       80.2622070    
       39600   79.3378372       53.9575500       80.2894211    
       39660   79.6916656       53.9575500       80.3628922    
       39720   79.8361130       53.8692398       80.4369125    
       39780   80.0171432       53.8692398       80.5046539    
       39840   79.9444427       53.8538513       80.5744171    
       39900   80.1888885       53.8538513       80.6472702    
       39960   80.2722244       53.9005127       80.6772156    
       40020   80.5428543       53.9005127       80.6838074    
       40080   80.8361130       54.0282707       80.6722260    
       40140   80.9388885       54.0282707       80.6673965    
       40200   80.6972198       54.1097374       80.6096725    
       40260   80.7571411       54.1097374       80.5400848    
       40320   80.8833313       54.1873436       80.4984970    
       40380   80.7888870       54.1873436       80.5384140    
       40440   80.9749985       54.0802498       80.6148224    
       40500   80.9114304       54.0802498       80.6505432    
       40560   81.1342850       54.1646309       80.6455536    
       40620   81.0166702       54.1646309       80.6162949    
       40680   80.9111099       54.3612976       80.5503998    
       40740   80.8742828       54.3612976       80.4665604    
       40800   80.9914322       54.4116058       80.3796082    
       40860   80.8333359       54.4116058       80.2832108    
       40920   80.2777786       54.4139557       80.1602097    
       40980   80.4000015       54.4139557       80.0596848    
       41040   80.8382339       54.3339615       80.0313110    
       41100   80.8382339       54.3339615       79.9997101    
       41160   80.5999985       54.1869965       79.9211349    
       41220   79.8970566       54.1869965       79.8413849    
       41280   79.8970566       54.2945137       79.7591705    
       41340   79.8000031       54.2945137       79.6511230    
       41400   79.9764709       54.3081436       79.5401230    
       41460   79.9029388       54.3081436       79.4561844    
       41520   79.9029388       54.2635727       79.4097214    
       41580   79.9705887       54.2635727       79.3691864    
       41640   79.9911728       54.2447548       79.2949982    
       41700   80.1911774       54.2447548       79.1859970    
       41760   80.1911774       54.3667870       79.0605316    
