 20180918
 Seconds  Measures(SEE-arcsec)  Meso-NH(SEE-arcsec)  FORECAST_AR(SEE-arcsec)
       21600   1.15795457      0.636496603       1.16700983    
       21660   1.15072727      0.636496603       1.15924191    
       21720   1.13981390      0.638560832       1.15154254    
       21780   1.12199998      0.638560832       1.14279497    
       21840   1.09485364      0.641748607       1.13392889    
       21900   1.09257138      0.641748607       1.12531614    
       21960   1.09246516      0.641866267       1.11702967    
       22020   1.09246516      0.641866267       1.10931480    
       22080   1.07186043      0.640905082       1.10135567    
       22140   1.04432559      0.640905082       1.09323454    
       22200   1.02779067      0.639874697       1.08509278    
       22260   1.02779067      0.639874697       1.07721186    
       22320   1.02590692      0.638666332       1.06943667    
       22380   1.02262795      0.638666332       1.06108534    
       22440   1.01904655      0.636680603       1.05246007    
       22500   1.01904655      0.636680603       1.04331994    
       22560   1.01120925      0.633686006       1.03302693    
       22620   1.00965118      0.633686006       1.02310216    
       22680   1.01218605      0.628069997       1.01237535    
       22740   1.01218605      0.628069997       1.00174654    
       22800   1.00990701      0.619235396      0.992103696    
       22860   1.00727904      0.619235396      0.983759284    
       22920   1.00504649      0.608999193      0.975857437    
       22980   1.00334096      0.608999193      0.969864905    
       23040   1.00783718      0.601541996      0.964746714    
       23100   1.00988376      0.601541996      0.959964275    
       23160   1.01083720      0.598443866      0.955033362    
       23220   1.01113951      0.598443866      0.950413942    
       23280   1.01113951      0.598150611      0.944620430    
       23340   1.01067448      0.598150611      0.937618077    
       23400   1.00944185      0.598734081      0.931369185    
       23460   1.00606978      0.598734081      0.926175535    
       23520   1.00606978      0.596469820      0.921172857    
       23580  0.998023272      0.596469820      0.916315854    
       23640  0.991697669      0.596001506      0.911093771    
       23700  0.990674436      0.596001506      0.905886352    
       23760  0.990674436      0.597813129      0.900466979    
       23820  0.989953518      0.597813129      0.895142496    
       23880  0.997395337      0.599011302      0.889657736    
       23940   1.00260460      0.599011302      0.884322405    
       24000   1.00260460      0.597819209      0.878951252    
       24060   1.00741863      0.597819209      0.873259127    
       24120   1.01081395      0.595789671      0.867382824    
       24180   1.01030231      0.595789671      0.861687005    
       24240   1.01030231      0.593725622      0.856183171    
       24300   1.01039541      0.593725622      0.851212204    
       24360   1.01025581      0.590260029      0.846605241    
       24420   1.01188374      0.590260029      0.842013478    
       24480   1.01188374      0.588545263      0.836851060    
       24540   1.01230228      0.588545263      0.831755936    
       24600   1.01139534      0.588689268      0.826196849    
       24660   1.01602328      0.588689268      0.821446121    
       24720   1.01602328      0.586893022      0.817389309    
       24780   1.01783717      0.586893022      0.813353181    
       24840   1.01959085      0.583610415      0.809583664    
       24900   1.02179551      0.583610415      0.805859387    
       24960   1.02018607      0.583469808      0.801937401    
       25020   1.01820457      0.583469808      0.798027754    
       25080   1.01593184      0.584600925      0.793622434    
       25140   1.01143181      0.584600925      0.788692772    
       25200   1.00946510      0.585202456       1.00675464    
       25260   1.00829542      0.585202456       1.00239897    
       25320   1.00309086      0.583968878      0.998525202    
       25380  0.999800026      0.583968878      0.995354772    
       25440  0.994239151      0.580333054      0.992928565    
       25500  0.994239151      0.580333054      0.990709007    
       25560  0.987739146      0.576012790      0.988673806    
       25620  0.978282630      0.576012790      0.986795723    
       25680  0.972553194      0.573507726      0.984953642    
       25740  0.970478237      0.573507726      0.983154476    
       25800  0.969488859      0.570982754      0.982218623    
       25860  0.968113661      0.570982754      0.981428564    
       25920  0.968113661      0.568245292      0.980332851    
       25980  0.966227293      0.568245292      0.979319751    
       26040  0.961477280      0.567102551      0.978356659    
       26100  0.956568182      0.567102551      0.977100492    
       26160  0.956568182      0.566884756      0.975355446    
       26220  0.954818189      0.566884756      0.973504186    
       26280  0.951113641      0.566844225      0.971698523    
       26340  0.946886361      0.566844225      0.970134258    
       26400  0.946886361      0.565608859      0.968612552    
       26460  0.945863664      0.565608859      0.966800690    
       26520  0.940477252      0.565784752      0.964227438    
       26580  0.939886391      0.565784752      0.961460412    
       26640  0.940116286      0.565896809      0.957992375    
       26700  0.940116286      0.565896809      0.954522252    
       26760  0.934627891      0.562826753      0.951133192    
       26820  0.933666646      0.562826753      0.948282421    
       26880  0.928690493      0.558251321      0.945309401    
       26940  0.924720943      0.558251321      0.943323910    
       27000  0.920666695      0.554537058      0.941852570    
       27060  0.913190484      0.554537058      0.939501405    
       27120  0.907904744      0.551459193      0.936642706    
       27180  0.906162798      0.551459193      0.933751225    
       27240  0.902380943      0.550745130      0.930635929    
       27300  0.900804877      0.550745130      0.927936137    
       27360  0.896025002      0.548206687      0.925497353    
       27420  0.889097571      0.548206687      0.923462868    
       27480  0.888999999      0.545286775      0.921538889    
       27540  0.876675010      0.545286775      0.919960141    
       27600  0.866400003      0.542784631      0.918194234    
       27660  0.859780490      0.542784631      0.916367173    
       27720  0.854375005      0.541494727      0.914403379    
       27780  0.842625022      0.541494727      0.912265480    
       27840  0.837849975      0.540033340      0.910446525    
       27900  0.833585382      0.540033340      0.908603370    
       27960  0.830950022      0.538280904      0.906832874    
       28020  0.821699977      0.538280904      0.905277789    
       28080  0.814024985      0.537994623      0.903431654    
       28140  0.808243930      0.537994623      0.901737928    
       28200  0.801625013      0.538497031      0.899917006    
       28260  0.789425015      0.538497031      0.898383021    
       28320  0.776000023      0.537710726      0.897136688    
       28380  0.771804869      0.537710726      0.896148503    
       28440  0.764599979      0.536726534      0.895313442    
       28500  0.753225029      0.536726534      0.894353271    
       28560  0.742999971      0.537107229      0.893049061    
       28620  0.740341485      0.537107229      0.891573668    
       28680  0.733609736      0.538009167      0.889989853    
       28740  0.732625008      0.538009167      0.888678551    
