 20181115
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       25260   3.96111369       2.33062339       3.98012328    
       25320   3.98181820       2.31878448       3.98262429    
       25380   3.98181820       2.31878448       3.98862410    
       25440   3.95545459       2.31250310       3.99730158    
       25500   3.93361354       2.31250310       4.00381565    
       25560   3.94297671       2.32079053       4.01159382    
       25620   3.93899989       2.32079053       4.01872492    
       25680   3.95656824       2.33480358       4.02766609    
       25740   4.00329542       2.33480358       4.03582239    
       25800   4.02179050       2.34722257       4.04317188    
       25860   4.03781796       2.34722257       4.04649305    
       25920   4.02768183       2.35123539       4.05116224    
       25980   4.03370476       2.35123539       4.05749989    
       26040   4.03858137       2.35299444       4.06555080    
       26100   4.04297733       2.35299444       4.07648897    
       26160   4.04679537       2.36206722       4.08715963    
       26220   4.01922750       2.36206722       4.09939432    
       26280   4.01816273       2.37470365       4.10994530    
       26340   4.01359081       2.37470365       4.11791897    
       26400   3.99809098       2.39504004       4.12702894    
       26460   4.00774431       2.39504004       4.13510990    
       26520   4.02139521       2.40891623       4.14132404    
       26580   4.01768160       2.40891623       4.15198803    
       26640   4.01918602       2.43349433       4.17212391    
       26700   3.99355817       2.43349433       4.18969250    
       26760   3.99697733       2.44439745       4.20324135    
       26820   3.99239540       2.44439745       4.21397924    
       26880   4.00648832       2.49087715       4.22665071    
       26940   4.02239513       2.49087715       4.24325705    
       27000   4.02239513       2.51982236       4.25962639    
       27060   4.02765131       2.51982236       4.27324677    
       27120   4.05367422       2.55226541       4.28525066    
       27180   4.04675007       2.55226541       4.29921865    
       27240   4.04895353       2.57955551       4.31333923    
       27300   4.03481388       2.57955551       4.33081055    
       27360   4.02030230       2.60963988       4.34694386    
       27420   4.02030230       2.60963988       4.35901451    
       27480   4.00946522       2.64942336       4.37345362    
       27540   4.00872087       2.64942336       4.39059401    
       27600   4.02397680       2.68144369       4.40726089    
       27660   4.02397680       2.68144369       4.41808939    
       27720   4.02234888       2.72173977       4.42635632    
       27780   4.00788355       2.72173977       4.43405628    
       27840   4.00788355       2.75614667       4.44389868    
       27900   3.98439527       2.75614667       4.45267296    
       27960   3.97144175       2.77666545       4.46011591    
       28020   3.98904657       2.77666545       4.46725512    
       28080   3.98904657       2.80379272       4.47248363    
       28140   3.98618603       2.80379272       4.48015833    
       28200   3.99048829       2.82705641       4.48754358    
       28260   3.96844196       2.82705641       4.49433231    
       28320   3.96844196       2.84680891       4.49860334    
       28380   3.96530223       2.84680891       4.49876595    
       28440   3.98741865       2.86682248       4.49880600    
       28500   4.01106834       2.86682248       4.50328350    
       28560   4.01106834       2.87850690       4.51182079    
       28620   4.01700020       2.87850690       4.52345991    
       28680   4.01636362       2.89243388       4.53232193    
       28740   4.01828909       2.89243388       4.53560162    
       28800   4.00750017       2.92221260       4.53731060    
       28860   4.00174999       2.92221260       3.99247265    
       28920   4.00834894       2.94334459       3.98434973    
       28980   3.99286056       2.94334459       3.97914481    
       29040   3.97877264       2.95661521       3.97360134    
       29100   3.99820447       2.95661521       3.96548223    
       29160   4.01381397       2.97709918       3.95381045    
       29220   4.01352262       2.97709918       3.93921590    
       29280   4.01923275       2.98376513       3.92237067    
       29340   4.00923824       2.98376513       3.90469813    
       29400   3.96697569       2.98107147       3.89118457    
       29460   3.96697569       2.98107147       3.88162184    
       29520   3.94797492       2.96583080       3.87828636    
       29580   3.96579480       2.96583080       3.87426901    
       29640   3.96715784       2.96232080       3.86724806    
       29700   3.96715784       2.96232080       3.86012340    
       29760   3.96000004       2.97856736       3.85359502    
       29820   3.95191669       2.97856736       3.84848714    
       29880   3.96102858       2.98383021       3.84393883    
       29940   3.96102858       2.98383021       3.84177089    
       30000   3.96526480       2.98333693       3.83896828    
       30060   3.97863626       2.98333693       3.83259821    
       30120   3.97863626       2.99246836       3.82297230    
       30180   3.96834373       2.99246836       3.81763101    
       30240   3.97190332       3.00319386       3.81926298    
       30300   3.97190332       3.00319386       3.82052302    
       30360   3.97099996       3.00267982       3.81542063    
       30420   3.93374205       3.00267982       3.80560613    
       30480   3.92193747       3.01954436       3.79723597    
       30540   3.92624998       3.01954436       3.78710198    
       30600   3.92835474       3.01607442       3.77768421    
       30660   3.93678117       3.01607442       3.77102709    
       30720   3.94262505       3.01621246       3.76820326    
       30780   3.93403125       3.01621246       3.76196671    
       30840   3.94000006       3.01251745       3.75153208    
       30900   3.92959380       3.01251745       3.74176669    
       30960   3.94762492       3.01832223       3.73134232    
       31020   3.97775006       3.01832223       3.72723150    
       31080   3.97775006       3.01457882       3.72715449    
       31140   4.00040627       3.01457882       3.72533345    
