 20181222
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       32280   2.26837206       2.50735974       2.12308121    
       32340   2.25231814       2.50735974       2.12327790    
       32400   2.24756813       2.50849080       2.12268353    
       32460   2.25530243       2.50849080       2.12153912    
       32520   2.25967431       2.50786138       2.12001610    
       32580   2.25606823       2.50786138       2.11836624    
       32640   2.26052284       2.50454545       2.11663914    
       32700   2.27316284       2.50454545       2.11479115    
       32760   2.27338648       2.50012374       2.11273384    
       32820   2.27870464       2.50012374       2.11055684    
       32880   2.28336358       2.49567795       2.10825300    
       32940   2.29218602       2.49567795       2.10606384    
       33000   2.28768182       2.49081850       2.10403943    
       33060   2.28781819       2.49081850       2.10228682    
       33120   2.29029536       2.48575377       2.10081983    
       33180   2.29644179       2.48575377       2.09973192    
       33240   2.28861356       2.48164749       2.09908915    
       33300   2.27970457       2.48164749       2.09876108    
       33360   2.27768183       2.47890687       2.09874749    
       33420   2.27768183       2.47890687       2.09875083    
       33480   2.28243184       2.47816324       2.09881949    
       33540   2.28574991       2.47816324       2.09891391    
       33600   2.28416276       2.47880435       2.09905720    
       33660   2.28127265       2.47880435       2.09928656    
       33720   2.28524995       2.47985315       2.09957194    
       33780   2.28839540       2.47985315       2.09987283    
       33840   2.29437208       2.48121881       2.10026073    
       33900   2.30304551       2.48121881       2.10062885    
       33960   2.31847739       2.48284864       2.10099125    
       34020   2.32209301       2.48284864       2.10136604    
       34080   2.33186054       2.48491001       2.10171723    
       34140   2.33886361       2.48491001       2.10201550    
       34200   2.34663630       2.48694682       2.10236883    
       34260   2.34951162       2.48694682       2.10261631    
       34320   2.35993171       2.48889709       2.10287571    
       34380   2.37190914       2.48889709       2.10339570    
       34440   2.38629556       2.49106073       2.10390329    
       34500   2.38629556       2.49106073       2.10462546    
       34560   2.39688635       2.49322724       2.10528088    
       34620   2.39422727       2.49322724       2.10569286    
       34680   2.38837218       2.49531865       2.10581970    
       34740   2.37940907       2.49531865       2.10595512    
       34800   2.36936355       2.49708748       2.10622716    
       34860   2.36456823       2.49708748       2.10661840    
       34920   2.36868882       2.49767256       2.10721493    
       34980   2.35570455       2.49767256       2.10797763    
       35040   2.34906983       2.49871922       2.10889482    
       35100   2.33985710       2.49871922       2.10985398    
       35160   2.33985710       2.50048542       2.11088181    
       35220   2.33023810       2.50048542       2.11189842    
       35280   2.33379078       2.50275803       2.11288619    
       35340   2.33669758       2.50275803       2.11380386    
       35400   2.33254766       2.50518489       2.11463499    
       35460   2.32988381       2.50518489       2.11526799    
       35520   2.32588363       2.50737929       2.11558938    
       35580   2.31837201       2.50737929       2.11569571    
       35640   2.31837201       2.50910401       2.11547565    
       35700   2.31069756       2.50910401       2.11496949    
       35760   2.30274415       2.50947547       2.11430836    
       35820   2.29683709       2.50947547       2.11349463    
       35880   2.29537201       2.50843549       2.11663580    
       35940   2.29537201       2.50843549       2.11472082    
       36000   2.30937219       2.50665689       2.11305881    
       36060   2.31886053       2.50665689       2.11154151    
       36120   2.32318187       2.50445199       2.11027527    
       36180   2.32523251       2.50445199       2.10907173    
       36240   2.33125591       2.50270462       2.10797787    
       36300   2.33881402       2.50270462       2.10693836    
       36360   2.33881402       2.50137615       2.10595632    
       36420   2.34674430       2.50137615       2.10511732    
       36480   2.35362792       2.49997568       2.10436416    
       36540   2.36165118       2.49997568       2.10374928    
       36600   2.36165118       2.49826002       2.10330606    
       36660   2.37174416       2.49826002       2.10295296    
       36720   2.38053489       2.49667954       2.10267854    
       36780   2.39337206       2.49667954       2.10249257    
       36840   2.39337206       2.49528885       2.10232258    
       36900   2.40320921       2.49528885       2.10208726    
       36960   2.42253494       2.49400687       2.10172129    
       37020   2.43583727       2.49400687       2.10119653    
       37080   2.43583727       2.49242806       2.10060644    
       37140   2.44267440       2.49242806       2.09990382    
       37200   2.44099998       2.48996878       2.09915709    
       37260   2.43609095       2.48996878       2.09831667    
       37320   2.44258142       2.48702049       2.09738564    
       37380   2.44209313       2.48702049       2.09641099    
       37440   2.43911362       2.48358750       2.09537029    
       37500   2.43556809       2.48358750       2.09420562    
       37560   2.42997670       2.47960043       2.09289670    
