 20190118
 Seconds  Measures(GLF-%)  Meso-NH(GLF-%)  FORECAST_AR(GLF-%)
       28680   60.8266678       36.1138229       67.0000000    
       28740   61.0511093       36.1138229       67.0000000    
       28800   61.3044434       35.5509834       67.0000000    
       28860   61.3044434       35.5509834       67.0000000    
       28920   61.6511116       35.2137947       67.0000000    
       28980   61.9333344       35.2137947       67.0000000    
       29040   62.0113640       34.6743469       67.0000000    
       29100   62.2355537       34.6743469       67.0000000    
       29160   62.7177773       33.7183037       67.0000000    
       29220   62.9355545       33.7183037       67.0000000    
       29280   62.8636360       32.8731308       67.0000000    
       29340   63.1555557       32.8731308       67.0000000    
       29400   63.4777794       32.3573532       67.0000000    
       29460   63.5136375       32.3573532       67.0000000    
       29520   63.8636360       31.9836407       67.0000000    
       29580   64.1555557       31.9836407       67.0000000    
       29640   64.4044418       31.3985329       67.0000000    
       29700   64.5113602       31.3985329       67.0000000    
       29760   65.1386337       30.6645069       67.0000000    
       29820   65.5088882       30.6645069       67.0000000    
       29880   66.1155548       30.2269096       67.0000000    
       29940   66.5045471       30.2269096       67.0000000    
       30000   66.6704559       30.0657272       67.0000000    
       30060   66.6911087       30.0657272       67.0000000    
       30120   67.1888885       29.8041401       67.0000000    
       30180   67.2136383       29.8041401       67.0000000    
       30240   67.5133362       29.4871902       67.0000000    
       30300   67.8044434       29.4871902       67.0000000    
       30360   68.0800018       29.3722286       67.0000000    
       30420   68.0800018       29.3722286       67.0000000    
       30480   68.2044449       29.2340183       67.0000000    
       30540   68.3111115       29.2340183       67.0000000    
       30600   68.4222260       29.0865421       67.0000000    
       30660   68.4222260       29.0865421       67.0000000    
       30720   68.4911118       29.1708031       67.0000000    
       30780   68.7377777       29.1708031       67.0000000    
       30840   68.8130417       29.3053970       67.0000000    
       30900   68.9177780       29.3053970       67.0000000    
       30960   69.3444443       29.8122196       67.0000000    
       31020   69.8111115       29.8122196       67.0000000    
       31080   69.8978271       30.5655422       67.0000000    
       31140   70.2222214       30.5655422       67.0000000    
       31200   70.5377808       31.3124313       67.0000000    
       31260   70.8222198       31.3124313       67.0000000    
       31320   70.9891281       31.8477459       67.0000000    
       31380   71.1266632       31.8477459       67.0000000    
       31440   71.2622223       32.0138741       67.0000000    
       31500   71.5045471       32.0138741       67.0000000    
