 20180902
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
        3480   1.23280954       1.11144304       1.26820004    
        3540   1.23280954       1.11144304       1.26820004    
        3600   1.22940910       1.10659051       1.26820004    
        3660   1.22572732       1.10659051       1.26820004    
        3720   1.22452378       1.09976590       1.26820004    
        3780   1.22231817       1.09976590       1.26820004    
        3840   1.22114289       1.08990097       1.26820004    
        3900   1.22114289       1.08990097       1.26820004    
        3960   1.21945453       1.07941127       1.26820004    
        4020   1.21804762       1.07941127       1.26820004    
        4080   1.21586359       1.07116783       1.26820004    
        4140   1.21471429       1.07116783       1.26820004    
        4200   1.21061909       1.06507361       1.26820004    
        4260   1.21061909       1.06507361       1.26820004    
        4320   1.21061909       1.06055963       1.26820004    
        4380   1.21327269       1.06055963       1.26820004    
        4440   1.20666671       1.05512857       1.26820004    
        4500   1.20395458       1.05512857       1.26820004    
        4560   1.20242858       1.04877722       1.26820004    
        4620   1.20000005       1.04877722       1.26820004    
        4680   1.20000005       1.04240179       1.26820004    
        4740   1.19980955       1.04240179       1.26820004    
        4800   1.19704545       1.03753424       1.26820004    
        4860   1.19390905       1.03753424       1.26820004    
        4920   1.19242859       1.03417897       1.26820004    
        4980   1.19242859       1.03417897       1.26820004    
        5040   1.19072723       1.03206730       1.26820004    
        5100   1.19004762       1.03206730       1.26820004    
        5160   1.19004762       1.03200877       1.26820004    
        5220   1.19531822       1.03200877       1.26820004    
        5280   1.18661904       1.03218913       1.26820004    
        5340   1.18661904       1.03218913       1.26820004    
        5400   1.18481815       1.03328121       1.26820004    
        5460   1.18481815       1.03328121       1.26820004    
        5520   1.18365216       1.03547668       1.26820004    
        5580   1.18169570       1.03547668       1.26820004    
        5640   1.18169570       1.03650784       1.26820004    
        5700   1.18149996       1.03650784       1.26820004    
        5760   1.17986953       1.03757274       1.26820004    
        5820   1.17986953       1.03757274       1.26820004    
        5880   1.17858338       1.03945804       1.26820004    
        5940   1.17732000       1.03945804       1.26820004    
        6000   1.17732000       1.04066229       1.26820004    
        6060   1.17732000       1.04066229       1.26820004    
        6120   1.17732000       1.04150105       1.26820004    
        6180   1.18038464       1.04150105       1.26820004    
        6240   1.18038464       1.04270816       1.26820004    
        6300   1.17955554       1.04270816       1.26820004    
        6360   1.17934620       1.04347479       1.26820004    
        6420   1.17866671       1.04347479       1.26820004    
        6480   1.17830765       1.04341614       1.26820004    
        6540   1.17748153       1.04341614       1.26820004    
