 20190426
 Seconds  Measures(RH-%)  Meso-NH(RH-%)  FORECAST_AR(RH-%)
        3600   46.2459030       42.1281624       47.0000000    
        3660   46.1311493       41.7135773       47.0000000    
        3720   46.0163918       41.2972870       47.0000000    
        3780   45.8524590       40.8830528       47.0000000    
        3840   45.6885262       40.4739990       47.0000000    
        3900   45.5573769       40.0714836       47.0000000    
        3960   45.3934441       39.6756744       47.0000000    
        4020   45.2950821       39.2874413       47.0000000    
        4080   45.2622948       38.9075623       47.0000000    
        4140   45.1475410       38.5365906       47.0000000    
        4200   45.0819664       38.1758919       47.0000000    
        4260   45.0819664       37.8288841       47.0000000    
        4320   45.0655746       37.4962425       47.0000000    
        4380   44.9836082       37.1758347       47.0000000    
        4440   44.9016380       36.8720360       47.0000000    
        4500   44.7377052       36.5903473       47.0000000    
        4560   44.5245895       36.3286476       47.0000000    
        4620   44.3606567       36.1101112       47.0000000    
        4680   44.3606567       36.0244713       47.0000000    
        4740   44.3770485       35.9600639       47.0000000    
        4800   44.3770485       35.8997154       47.0000000    
        4860   44.3770485       35.8348885       47.0000000    
        4920   44.2786903       35.7610092       47.0000000    
        4980   44.1639328       35.6800346       47.0000000    
        5040   44.0983620       35.5934258       47.0000000    
        5100   44.0327873       35.5001526       47.0000000    
        5160   43.9180336       35.4013443       47.0000000    
        5220   43.7704926       35.3020897       47.0000000    
        5280   43.6065559       35.2087555       47.0000000    
        5340   43.4426231       35.1255951       47.0000000    
        5400   43.3934441       35.0533218       47.0000000    
        5460   43.3606567       34.9910545       47.0000000    
        5520   43.4426231       34.9364853       47.0000000    
        5580   43.3934441       34.8853455       47.0000000    
        5640   43.4262314       34.8358116       47.0000000    
        5700   43.3770485       34.7898331       47.0000000    
        5760   43.2295074       34.7480125       47.0000000    
        5820   43.0327873       34.7084274       47.0000000    
        5880   42.8524590       34.6678581       47.0000000    
        5940   42.7540970       34.6237564       47.0000000    
        6000   42.7049179       34.5777016       47.0000000    
