 20190525
 Seconds  Measures(SEE-arcsec)  Meso-NH(SEE-arcsec)  FORECAST_AR(SEE-arcsec)
       21480   1.01147366       1.32597280      0.845000029    
       21540   1.01147366       1.32597280      0.845000029    
       21600   1.01890004       1.32209027      0.845000029    
       21660   1.02733338       1.32209027      0.845000029    
       21720   1.03450000       1.31768215      0.845000029    
       21780   1.03404760       1.31768215      0.845000029    
       21840   1.03404760       1.31149006      0.845000029    
       21900   1.03404760       1.31149006      0.845000029    
       21960   1.03404760       1.30634570      0.845000029    
       22020   1.03404760       1.30634570      0.845000029    
       22080   1.04761910       1.29751623      0.845000029    
       22140   1.04761910       1.29751623      0.845000029    
       22200   1.04761910       1.29428875      0.845000029    
       22260   1.05900002       1.29428875      0.845000029    
       22320   1.07214284       1.29074502      0.845000029    
       22380   1.06790912       1.29074502      0.845000029    
       22440   1.07230437       1.29113853      0.845000029    
       22500   1.07813632       1.29113853      0.845000029    
       22560   1.08165216       1.29198062      0.845000029    
       22620   1.08165216       1.29198062      0.845000029    
       22680   1.07754171       1.29618776      0.845000029    
       22740   1.08495653       1.29618776      0.845000029    
       22800   1.08495653       1.30291510      0.845000029    
       22860   1.08937502       1.30291510      0.845000029    
       22920   1.08856523       1.31789351      0.845000029    
       22980   1.08856523       1.31789351      0.845000029    
       23040   1.09452176       1.33192408      0.845000029    
       23100   1.11058331       1.33192408      0.845000029    
       23160   1.11058331       1.33681977      0.845000029    
       23220   1.11730433       1.33681977      0.845000029    
       23280   1.12229168       1.33722293      0.845000029    
       23340   1.12229168       1.33722293      0.845000029    
       23400   1.12833333       1.33132303      0.845000029    
       23460   1.14065218       1.33132303      0.845000029    
       23520   1.13458335       1.32001758      0.845000029    
       23580   1.13427997       1.32001758      0.845000029    
       23640   1.15111995       1.30483401      0.845000029    
       23700   1.15111995       1.30483401      0.845000029    
       23760   1.15111995       1.29436743      0.845000029    
       23820   1.15532005       1.29436743      0.845000029    
       23880   1.15203846       1.29015779      0.845000029    
       23940   1.14308000       1.29015779      0.845000029    
       24000   1.14061534       1.29360247      0.845000029    
       24060   1.14061534       1.29360247      0.845000029    
       24120   1.14884615       1.30184138      0.845000029    
       24180   1.14884615       1.30184138      0.845000029    
       24240   1.14884615       1.30936992      0.845000029    
       24300   1.16196156       1.30936992      0.845000029    
       24360   1.16196156       1.31477690      0.845000029    
       24420   1.16348147       1.31477690      0.845000029    
       24480   1.16296148       1.31712198      0.845000029    
       24540   1.16296148       1.31712198      0.845000029    
       24600   1.16240740       1.31552780      0.845000029    
       24660   1.17582142       1.31552780      0.845000029    
       24720   1.17582142       1.30806136      0.845000029    
       24780   1.17796552       1.30806136      0.845000029    
       24840   1.17796552       1.30185926      0.845000029    
       24900   1.18189657       1.30185926      0.845000029    
       24960   1.18189657       1.29669142      0.845000029    
       25020   1.16859996       1.29669142      0.845000029    
       25080   1.16803443       1.29306865       1.14699996    
       25140   1.16803443       1.29306865       1.14699996    
       25200   1.16153336       1.28973579       1.14699996    
       25260   1.16158617       1.28973579       1.14699996    
       25320   1.15451729       1.28662777       1.14699996    
       25380   1.15342855       1.28662777       1.14699996    
       25440   1.15342855       1.28226209       1.14699996    
       25500   1.15006900       1.28226209       1.14699996    
       25560   1.15006900       1.28057539       1.14699996    
       25620   1.14676666       1.28057539       1.14699996    
       25680   1.14676666       1.27973878       1.14699996    
       25740   1.15750003       1.27973878       1.14699996    
       25800   1.15750003       1.27876961       1.14699996    
       25860   1.15750003       1.27876961       1.14699996    
       25920   1.15836668       1.27705848       1.14699996    
       25980   1.15620685       1.27705848       1.14699996    
       26040   1.15896547       1.27345371       1.14699996    
       26100   1.15860713       1.27345371       1.14699996    
       26160   1.15860713       1.27093995       1.14699996    
       26220   1.15535712       1.27093995       1.14699996    
       26280   1.15535712       1.26791751       1.14699996    
       26340   1.16174078       1.26791751       1.14699996    
       26400   1.16839290       1.26420486       1.14699996    
       26460   1.16839290       1.26420486       1.14699996    
       26520   1.16755557       1.25773406       1.14699996    
       26580   1.15953577       1.25773406       1.14699996    
       26640   1.15953577       1.24509490       1.14699996    
       26700   1.16807413       1.24509490       1.14699996    
       26760   1.15607691       1.23792231       1.14699996    
       26820   1.15607691       1.23792231       1.14699996    
       26880   1.15607691       1.23921621       1.14699996    
       26940   1.15284002       1.23921621       1.14699996    
       27000   1.15284002       1.24394548       1.14699996    
       27060   1.15308332       1.24394548       1.14699996    
       27120   1.15308332       1.25204742       1.14699996    
       27180   1.15995657       1.25204742       1.14699996    
       27240   1.16145456       1.25909400       1.14699996    
       27300   1.15223813       1.25909400       1.14699996    
       27360   1.15223813       1.26218164       1.14699996    
       27420   1.15223813       1.26218164       1.14699996    
       27480   1.15014994       1.25946963       1.14699996    
       27540   1.15436840       1.25946963       1.14699996    
       27600   1.15436840       1.25131321       1.14699996    
       27660   1.16026318       1.25131321       1.14699996    
       27720   1.15814996       1.24181283       1.14699996    
       27780   1.15021050       1.24181283       1.14699996    
       27840   1.15021050       1.23271191       1.14699996    
       27900   1.15009999       1.23271191       1.14699996    
       27960   1.12963164       1.22525954       1.14699996    
       28020   1.12963164       1.22525954       1.14699996    
       28080   1.11931574       1.21795154       1.14699996    
       28140   1.11931574       1.21795154       1.14699996    
       28200   1.11931574       1.21170950       1.14699996    
       28260   1.12973690       1.21170950       1.14699996    
       28320   1.10705554       1.20836914       1.14699996    
       28380   1.10705554       1.20836914       1.14699996    
       28440   1.09077775       1.21182060       1.14699996    
       28500   1.09077775       1.21182060       1.14699996    
       28560   1.09147060       1.21501410       1.14699996    
       28620   1.08305562       1.21501410       1.14699996    
       28680   1.10070586       1.21710789       1.03944445    
