 20181226
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       28680   4.44165897       6.45205021       4.49200010    
       28740   4.43202209       6.45205021       4.49200010    
       28800   4.43804455       6.50039196       4.49200010    
       28860   4.43244457       6.50039196       4.49200010    
       28920   4.42895555       6.57059002       4.49200010    
       28980   4.42895555       6.57059002       4.49200010    
       29040   4.43871117       6.63820696       4.49200010    
       29100   4.43657780       6.63820696       4.49200010    
       29160   4.43954563       6.71766806       4.49200010    
       29220   4.43954563       6.71766806       4.49200010    
       29280   4.43037224       6.80729580       4.49200010    
       29340   4.43219042       6.80729580       4.49200010    
       29400   4.43480492       6.89180756       4.49200010    
       29460   4.43480492       6.89180756       4.49200010    
       29520   4.44127512       6.94947052       4.49200010    
       29580   4.49630022       6.94947052       4.49200010    
       29640   4.50740004       7.00488806       4.49200010    
       29700   4.50740004       7.00488806       4.49200010    
       29760   4.52122498       7.05698729       4.49200010    
       29820   4.53509998       7.05698729       4.49200010    
       29880   4.56747484       7.07580423       4.49200010    
       29940   4.56747484       7.07580423       4.49200010    
       30000   4.57932520       7.10087299       4.49200010    
       30060   4.59152508       7.10087299       4.49200010    
       30120   4.61947489       7.13627863       4.49200010    
       30180   4.61947489       7.13627863       4.49200010    
       30240   4.65807486       7.19869900       4.49200010    
       30300   4.66227484       7.19869900       4.49200010    
       30360   4.66365862       7.27899218       4.49200010    
       30420   4.66962481       7.27899218       4.49200010    
       30480   4.67631721       7.36861181       4.49200010    
       30540   4.68436575       7.36861181       4.49200010    
       30600   4.69004869       7.42646742       4.49200010    
       30660   4.69500017       7.42646742       4.49200010    
       30720   4.70341444       7.49502373       4.49200010    
       30780   4.70614624       7.49502373       4.49200010    
       30840   4.73285389       7.57162762       4.49200010    
       30900   4.73530006       7.57162762       4.49200010    
       30960   4.74446344       7.64052773       4.49200010    
       31020   4.74285364       7.64052773       4.49200010    
       31080   4.72885370       7.71758652       4.49200010    
       31140   4.72965002       7.71758652       4.49200010    
       31200   4.69624376       7.82523966       4.49200010    
       31260   4.66119528       7.82523966       4.49200010    
       31320   4.63943911       7.92658377       4.49200010    
       31380   4.62507486       7.92658377       4.49200010    
       31440   4.62858534       8.02595615       4.49200010    
       31500   4.60587788       8.02595615       4.49200010    
       31560   4.61987782       8.12802601       4.49200010    
       31620   4.62317514       8.12802601       4.49200010    
       31680   4.64578056       8.20357895       4.49200010    
       31740   4.67943907       8.20357895       4.49200010    
       31800   4.74095106       8.26597977       4.49200010    
       31860   4.74095106       8.26597977       4.49200010    
       31920   4.78297567       8.33582878       4.49200010    
       31980   4.78997564       8.33582878       4.49200010    
       32040   4.80884981       8.39930439       4.49200010    
       32100   4.83599997       8.39930439       4.49200010    
       32160   4.86712217       8.46084309       4.49200010    
       32220   4.89873171       8.46084309       4.49200010    
       32280   4.92549992       8.50706482       5.53700018    
       32340   4.93482924       8.50706482       5.53700018    
       32400   4.95158529       8.55809307       5.53700018    
       32460   4.96745014       8.55809307       5.53700018    
       32520   4.96007490       8.62976074       5.53700018    
       32580   4.99317932       8.62976074       5.53700018    
       32640   4.99317932       8.68564796       5.53700018    
       32700   5.01192093       8.68564796       5.53700018    
       32760   5.02413511       8.73306084       5.53700018    
       32820   5.02413511       8.73306084       5.53700018    
       32880   5.02413511       8.78582382       5.53700018    
       32940   5.02413511       8.78582382       5.53700018    
       33000   5.02413511       8.82788372       5.53700018    
       33060   5.02413511       8.82788372       5.53700018    
       33120   5.05234194       8.87513065       5.53700018    
       33180   5.08656406       8.87513065       5.53700018    
       33240   5.08133316       8.93807888       5.53700018    
       33300   5.09628963       8.93807888       5.53700018    
       33360   5.07761526       9.00817966       5.53700018    
       33420   5.04920530       9.00817966       5.53700018    
       33480   5.02210236       9.08500576       5.53700018    
       33540   5.00757885       9.08500576       5.53700018    
       33600   4.97158957       9.16512871       5.53700018    
       33660   4.96684599       9.16512871       5.53700018    
       33720   5.00797415       9.25288296       5.53700018    
       33780   5.00021076       9.25288296       5.53700018    
       33840   5.01838446       9.34961319       5.53700018    
       33900   5.02084637       9.34961319       5.53700018    
       33960   4.99348736       9.42950535       5.53700018    
       34020   5.00071049       9.42950535       5.53700018    
       34080   4.97176933       9.50596619       5.53700018    
       34140   4.98110247       9.50596619       5.53700018    
       34200   5.01461554       9.59249496       5.53700018    
       34260   5.00086832       9.59249496       5.53700018    
       34320   5.04430771       9.67790794       5.53700018    
       34380   5.08869219       9.67790794       5.53700018    
       34440   5.13356400       9.76242352       5.53700018    
       34500   5.13707876       9.76242352       5.53700018    
       34560   5.16223097       9.83749580       5.53700018    
       34620   5.18794870       9.83749580       5.53700018    
       34680   5.23694849       9.89841652       5.53700018    
       34740   5.25965786       9.89841652       5.53700018    
       34800   5.31756401       9.95137787       5.53700018    
       34860   5.42387199       9.95137787       5.53700018    
       34920   5.51605129       9.99941444       5.53700018    
       34980   5.60907698       9.99941444       5.53700018    
       35040   5.60907698       10.0390663       5.53700018    
       35100   5.69228220       10.0390663       5.53700018    
       35160   5.80105114       10.0659990       5.53700018    
       35220   5.81620502       10.0659990       5.53700018    
       35280   5.81620502       10.0909319       5.53700018    
       35340   5.84484625       10.0909319       5.53700018    
       35400   5.85687160       10.1187849       5.53700018    
       35460   5.82907677       10.1187849       5.53700018    
       35520   5.82907677       10.1565084       5.53700018    
       35580   5.84241009       10.1565084       5.53700018    
       35640   5.90169239       10.1955872       5.53700018    
       35700   5.90169239       10.1955872       5.53700018    
       35760   5.90233326       10.2257872       5.53700018    
       35820   5.94348717       10.2257872       5.53700018    
       35880   5.97592306       10.2647800       6.80999994    
