 20181115
 Seconds  Measures(TEMP-C°)  Meso-NH(TEMP-C°)  FORECAST_AR(TEMP-C°)
        3600   15.6295080       17.1350212       15.7200003    
        3660   15.6222954       17.1395893       15.7200003    
        3720   15.6203279       17.1441479       15.7200003    
        3780   15.6155739       17.1492786       15.7200003    
        3840   15.6068850       17.1549244       15.7200003    
        3900   15.6008196       17.1598053       15.7200003    
        3960   15.5977049       17.1627388       15.7200003    
        4020   15.5960655       17.1637020       15.7200003    
        4080   15.5950823       17.1637497       15.7200003    
        4140   15.6001635       17.1640434       15.7200003    
        4200   15.6114750       17.1645069       15.7200003    
        4260   15.6175413       17.1649799       15.7200003    
        4320   15.6198359       17.1670933       15.7200003    
        4380   15.6239347       17.1719131       15.7200003    
        4440   15.6262293       17.1783752       15.7200003    
        4500   15.6283607       17.1843815       15.7200003    
        4560   15.6221313       17.1885166       15.7200003    
        4620   15.6144266       17.1910095       15.7200003    
        4680   15.6049185       17.1933022       15.7200003    
        4740   15.5981970       17.1965542       15.7200003    
        4800   15.5995083       17.2014484       15.7200003    
        4860   15.6065578       17.2078762       15.7200003    
        4920   15.6152458       17.2145691       15.7200003    
        4980   15.6234426       17.2208099       15.7200003    
        5040   15.6290159       17.2272358       15.7200003    
        5100   15.6321316       17.2358723       15.7200003    
        5160   15.6347542       17.2480640       15.7200003    
        5220   15.6355734       17.2663860       15.7200003    
        5280   15.6298361       17.2896423       15.7200003    
        5340   15.6275406       17.3148613       15.7200003    
        5400   15.6278687       17.3422527       15.7200003    
        5460   15.6303282       17.3687153       15.7200003    
        5520   15.6378689       17.3873825       15.7200003    
        5580   15.6422949       17.3984184       15.7200003    
        5640   15.6455736       17.4062309       15.7200003    
        5700   15.6532784       17.4128265       15.7200003    
        5760   15.6595078       17.4180756       15.7200003    
        5820   15.6634426       17.4240494       15.7200003    
        5880   15.6657381       17.4321003       15.7200003    
        5940   15.6663933       17.4440804       15.7200003    
        6000   15.6736069       17.4622784       15.7200003    
        6060   15.6831150       17.4839745       15.7200003    
        6120   15.6916389       17.5058765       15.7200003    
        6180   15.7027864       17.5272884       15.7200003    
        6240   15.7111473       17.5497990       15.7200003    
        6300   15.7059021       17.5744553       15.7200003    
        6360   15.7050819       17.5994968       15.7200003    
        6420   15.7104921       17.6239986       15.7200003    
        6480   15.7168856       17.6479626       15.7200003    
        6540   15.7236061       17.6721458       15.7200003    
        6600   15.7303276       17.6974239       15.7200003    
        6660   15.7404919       17.7230797       15.7200003    
        6720   15.7478685       17.7478828       15.7200003    
        6780   15.7554102       17.7716179       15.7200003    
        6840   15.7619677       17.7947464       15.7200003    
        6900   15.7700005       17.8168926       15.7200003    
        6960   15.7813110       17.8377514       15.7200003    
        7020   15.7911472       17.8576660       15.7200003    
        7080   15.7975407       17.8769207       15.7200003    
        7140   15.8009834       17.8958282       15.7200003    
        7200   15.8077049       17.9135723       15.9799995    
        7260   15.8136063       17.9295654       15.9799995    
        7320   15.8147545       17.9442940       15.9799995    
        7380   15.8163939       17.9554482       15.9799995    
        7440   15.8193445       17.9587193       15.9799995    
        7500   15.8206558       17.9585018       15.9799995    
        7560   15.8237705       17.9598789       15.9799995    
        7620   15.8260660       17.9635830       15.9799995    
        7680   15.8290167       17.9683208       15.9799995    
        7740   15.8306561       17.9726086       15.9799995    
        7800   15.8301640       17.9757996       15.9799995    
        7860   15.8226233       17.9774971       15.9799995    
        7920   15.8180332       17.9780293       15.9799995    
        7980   15.8163939       17.9784946       15.9799995    
        8040   15.8168850       17.9800320       15.9799995    
        8100   15.8186884       17.9839420       15.9799995    
        8160   15.8219671       17.9909096       15.9799995    
        8220   15.8254099       18.0002251       15.9799995    
        8280   15.8257380       18.0105057       15.9799995    
        8340   15.8281965       18.0210915       15.9799995    
        8400   15.8290167       18.0307980       15.9799995    
        8460   15.8267212       18.0384960       15.9799995    
        8520   15.8195086       18.0445728       15.9799995    
        8580   15.8139343       18.0499630       15.9799995    
        8640   15.8118029       18.0555840       15.9799995    
        8700   15.8122950       18.0607376       15.9799995    
        8760   15.8168850       18.0638046       15.9799995    
        8820   15.8221312       18.0616722       15.9799995    
        8880   15.8283606       18.0544682       15.9799995    
        8940   15.8345900       18.0447350       15.9799995    
        9000   15.8409834       18.0325813       15.9799995    
        9060   15.8480330       18.0206680       15.9799995    
        9120   15.8531151       18.0150242       15.9799995    
        9180   15.8529510       18.0146637       15.9799995    
        9240   15.8529510       18.0152836       15.9799995    
        9300   15.8493443       18.0158501       15.9799995    
        9360   15.8449183       18.0173702       15.9799995    
        9420   15.8439341       18.0182056       15.9799995    
        9480   15.8475409       18.0166931       15.9799995    
        9540   15.8550816       18.0113297       15.9799995    
        9600   15.8639345       18.0002975       15.9799995    
        9660   15.8713112       17.9867535       15.9799995    
        9720   15.8745899       17.9735870       15.9799995    
        9780   15.8745899       17.9609680       15.9799995    
        9840   15.8773775       17.9481049       15.9799995    
        9900   15.8785248       17.9350338       15.9799995    
        9960   15.8831148       17.9216442       15.9799995    
       10020   15.8881969       17.9073620       15.9799995    
       10080   15.8919668       17.8919525       15.9799995    
       10140   15.8950815       17.8751564       15.9799995    
       10200   15.8973770       17.8566780       15.9799995    
       10260   15.9008198       17.8370495       15.9799995    
       10320   15.9029512       17.8171940       15.9799995    
       10380   15.9067211       17.7972012       15.9799995    
       10440   15.9096718       17.7768879       15.9799995    
       10500   15.9127865       17.7569218       15.9799995    
       10560   15.9168854       17.7383537       15.9799995    
       10620   15.9221315       17.7207375       15.9799995    
       10680   15.9273767       17.7027073       15.9799995    
       10740   15.9327869       17.6832256       15.9799995    
       10800   15.9388523       17.6621590       16.1700001    
       10860   15.9404917       17.6401634       16.1700001    
       10920   15.9411478       17.6178532       16.1700001    
       10980   15.9452457       17.5971107       16.1700001    
       11040   15.9477053       17.5828590       16.1700001    
       11100   15.9513111       17.5728989       16.1700001    
       11160   15.9560652       17.5629120       16.1700001    
       11220   15.9586887       17.5516472       16.1700001    
       11280   15.9614754       17.5396481       16.1700001    
       11340   15.9631147       17.5276642       16.1700001    
       11400   15.9645901       17.5162392       16.1700001    
       11460   15.9667215       17.5062656       16.1700001    
       11520   15.9690161       17.4975147       16.1700001    
       11580   15.9693441       17.4885254       16.1700001    
       11640   15.9686890       17.4782372       16.1700001    
       11700   15.9660654       17.4658508       16.1700001    
       11760   15.9624586       17.4507561       16.1700001    
       11820   15.9590168       17.4331360       16.1700001    
       11880   15.9547539       17.4140949       16.1700001    
       11940   15.9516392       17.3946915       16.1700001    
       12000   15.9475412       17.3761482       16.1700001    
       12060   15.9440985       17.3597889       16.1700001    
       12120   15.9426231       17.3451328       16.1700001    
       12180   15.9427872       17.3299656       16.1700001    
       12240   15.9409838       17.3128223       16.1700001    
       12300   15.9368849       17.2936058       16.1700001    
       12360   15.9313116       17.2725353       16.1700001    
       12420   15.9231148       17.2492199       16.1700001    
       12480   15.9162292       17.2240810       16.1700001    
       12540   15.9093447       17.1984711       16.1700001    
       12600   15.9004917       17.1729088       16.1700001    
       12660   15.8908195       17.1465626       16.1700001    
       12720   15.8796721       17.1191826       16.1700001    
       12780   15.8655739       17.0917282       16.1700001    
       12840   15.8537703       17.0645390       16.1700001    
       12900   15.8427868       17.0376320       16.1700001    
       12960   15.8350821       17.0122929       16.1700001    
       13020   15.8268852       16.9887810       16.1700001    
       13080   15.8178692       16.9661617       16.1700001    
       13140   15.8062296       16.9435196       16.1700001    
       13200   15.7916393       16.9206486       16.1700001    
       13260   15.7804918       16.8973942       16.1700001    
       13320   15.7711477       16.8738861       16.1700001    
       13380   15.7600002       16.8504658       16.1700001    
       13440   15.7481966       16.8272400       16.1700001    
       13500   15.7319670       16.8045731       16.1700001    
       13560   15.7175407       16.7830772       16.1700001    
       13620   15.7044258       16.7629108       16.1700001    
       13680   15.6913118       16.7441425       16.1700001    
       13740   15.6778688       16.7266521       16.1700001    
       13800   15.6647539       16.7100735       16.1700001    
       13860   15.6511478       16.6938400       16.1700001    
       13920   15.6383610       16.6775608       16.1700001    
       13980   15.6270494       16.6609955       16.1700001    
       14040   15.6147537       16.6439896       16.1700001    
       14100   15.6047544       16.6267204       16.1700001    
       14160   15.5940981       16.6096764       16.1700001    
       14220   15.5803280       16.5925255       16.1700001    
       14280   15.5642624       16.5747585       16.1700001    
       14340   15.5480328       16.5571957       16.1700001    
       14400   15.5321312       16.5408192       15.4099998    
       14460   15.5162296       16.5251617       15.4099998    
       14520   15.4998360       16.5088768       15.4099998    
       14580   15.4875412       16.4925194       15.4099998    
       14640   15.4719667       16.4770489       15.4099998    
       14700   15.4534426       16.4617138       15.4099998    
       14760   15.4355736       16.4454041       15.4099998    
       14820   15.4193439       16.4281540       15.4099998    
       14880   15.4039345       16.4098129       15.4099998    
       14940   15.3898363       16.3901558       15.4099998    
       15000   15.3740988       16.3698444       15.4099998    
       15060   15.3567209       16.3495216       15.4099998    
       15120   15.3370495       16.3294392       15.4099998    
       15180   15.3195086       16.3095951       15.4099998    
       15240   15.3037701       16.2896633       15.4099998    
       15300   15.2863932       16.2692547       15.4099998    
       15360   15.2706556       16.2487240       15.4099998    
       15420   15.2540979       16.2287636       15.4099998    
       15480   15.2349176       16.2091255       15.4099998    
       15540   15.2168856       16.1894684       15.4099998    
       15600   15.1988525       16.1697617       15.4099998    
       15660   15.1798363       16.1494808       15.4099998    
       15720   15.1604919       16.1285858       15.4099998    
       15780   15.1414757       16.1079369       15.4099998    
       15840   15.1242619       16.0879116       15.4099998    
       15900   15.1090164       16.0682144       15.4099998    
       15960   15.0929508       16.0479984       15.4099998    
       16020   15.0755739       16.0275249       15.4099998    
       16080   15.0601635       16.0079708       15.4099998    
       16140   15.0468855       15.9894209       15.4099998    
       16200   15.0363932       15.9706306       15.4099998    
       16260   15.0277052       15.9514389       15.4099998    
       16320   15.0198364       15.9323597       15.4099998    
       16380   15.0136070       15.9129429       15.4099998    
       16440   15.0077047       15.8926649       15.4099998    
       16500   15.0021315       15.8722878       15.4099998    
       16560   14.9944258       15.8521461       15.4099998    
       16620   14.9842625       15.8319654       15.4099998    
       16680   14.9737701       15.8113842       15.4099998    
       16740   14.9660654       15.7910595       15.4099998    
       16800   14.9639349       15.7718096       15.4099998    
       16860   14.9622955       15.7538414       15.4099998    
       16920   14.9567213       15.7365637       15.4099998    
       16980   14.9491806       15.7203178       15.4099998    
       17040   14.9426231       15.7049942       15.4099998    
       17100   14.9370489       15.6892109       15.4099998    
       17160   14.9332790       15.6724386       15.4099998    
       17220   14.9252462       15.6559801       15.4099998    
       17280   14.9200001       15.6394911       15.4099998    
       17340   14.9201641       15.6227655       15.4099998    
       17400   14.9195080       15.6065722       15.4099998    
       17460   14.9190168       15.5911694       15.4099998    
       17520   14.9188528       15.5774412       15.4099998    
       17580   14.9178686       15.5664091       15.4099998    
       17640   14.9178686       15.5571632       15.4099998    
       17700   14.9131145       15.5470457       15.4099998    
       17760   14.9039345       15.5349741       15.4099998    
       17820   14.8947544       15.5224009       15.4099998    
       17880   14.8926229       15.5110769       15.4099998    
       17940   14.8900003       15.5005169       15.4099998    
       18000   14.8903275       15.4886913       14.9499998    
       18060   14.8913116       15.4753342       14.9499998    
       18120   14.8914757       15.4615326       14.9499998    
       18180   14.8903275       15.4473991       14.9499998    
       18240   14.8855734       15.4329357       14.9499998    
       18300   14.8827868       15.4187956       14.9499998    
       18360   14.8855734       15.4062777       14.9499998    
       18420   14.8878689       15.3955460       14.9499998    
       18480   14.8900003       15.3857641       14.9499998    
       18540   14.8901644       15.3762903       14.9499998    
       18600   14.8867216       15.3662586       14.9499998    
       18660   14.8827868       15.3554420       14.9499998    
       18720   14.8836069       15.3441525       14.9499998    
       18780   14.8827868       15.3327503       14.9499998    
       18840   14.8790159       15.3216181       14.9499998    
       18900   14.8760653       15.3111715       14.9499998    
       18960   14.8732786       15.3020897       14.9499998    
       19020   14.8708200       15.2945547       14.9499998    
       19080   14.8701639       15.2879591       14.9499998    
       19140   14.8714752       15.2819843       14.9499998    
       19200   14.8722954       15.2767467       14.9499998    
       19260   14.8759012       15.2719860       14.9499998    
       19320   14.8811474       15.2671061       14.9499998    
       19380   14.8860655       15.2622957       14.9499998    
       19440   14.8883610       15.2580538       14.9499998    
       19500   14.8908195       15.2545700       14.9499998    
       19560   14.8922949       15.2522440       14.9499998    
       19620   14.8944263       15.2504559       14.9499998    
       19680   14.8963938       15.2474270       14.9499998    
       19740   14.8962297       15.2430925       14.9499998    
       19800   14.8934422       15.2386875       14.9499998    
       19860   14.8906555       15.2336893       14.9499998    
       19920   14.8895082       15.2278652       14.9499998    
       19980   14.8878689       15.2226305       14.9499998    
       20040   14.8826227       15.2192965       14.9499998    
       20100   14.8772135       15.2174339       14.9499998    
       20160   14.8721313       15.2165489       14.9499998    
       20220   14.8683605       15.2171183       14.9499998    
       20280   14.8631144       15.2194471       14.9499998    
       20340   14.8552456       15.2219591       14.9499998    
       20400   14.8450823       15.2229853       14.9499998    
       20460   14.8331146       15.2228251       14.9499998    
       20520   14.8236065       15.2223768       14.9499998    
       20580   14.8167210       15.2212534       14.9499998    
       20640   14.8091803       15.2196980       14.9499998    
       20700   14.8032789       15.2186956       14.9499998    
       20760   14.7970495       15.2191048       14.9499998    
       20820   14.7921314       15.2206011       14.9499998    
       20880   14.7906561       15.2233047       14.9499998    
       20940   14.7859020       15.2269106       14.9499998    
       21000   14.7767210       15.2294102       14.9499998    
       21060   14.7678690       15.2290792       14.9499998    
       21120   14.7596722       15.2248716       14.9499998    
       21180   14.7518034       15.2174416       14.9499998    
       21240   14.7434425       15.2091942       14.9499998    
       21300   14.7316389       15.2028666       14.9499998    
       21360   14.7224588       15.1987190       14.9499998    
       21420   14.7173767       15.1948662       14.9499998    
       21480   14.7175407       15.1902342       14.9499998    
       21540   14.7118034       15.1846590       14.9499998    
       21600   14.7050819       15.1789207       14.8900003    
       21660   14.6952457       15.1734629       14.8900003    
       21720   14.6852455       15.1680574       14.8900003    
       21780   14.6777048       15.1631584       14.8900003    
       21840   14.6750822       15.1588020       14.8900003    
       21900   14.6742620       15.1548977       14.8900003    
       21960   14.6718035       15.1513844       14.8900003    
       22020   14.6668854       15.1479654       14.8900003    
       22080   14.6608200       15.1442366       14.8900003    
       22140   14.6544266       15.1406326       14.8900003    
       22200   14.6496725       15.1368876       14.8900003    
       22260   14.6473770       15.1324654       14.8900003    
       22320   14.6473770       15.1271000       14.8900003    
       22380   14.6439342       15.1206846       14.8900003    
       22440   14.6431150       15.1137924       14.8900003    
       22500   14.6427870       15.1071682       14.8900003    
       22560   14.6400003       15.1003675       14.8900003    
       22620   14.6385250       15.0930243       14.8900003    
       22680   14.6360655       15.0855265       14.8900003    
       22740   14.6324587       15.0768585       14.8900003    
       22800   14.6290159       15.0666227       14.8900003    
       22860   14.6262293       15.0569592       14.8900003    
       22920   14.6221313       15.0494680       14.8900003    
       22980   14.6172132       15.0431471       14.8900003    
