 20181007
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       28680   1.13045454       1.51761436       1.68750000    
       28740   1.12917781       1.51761436       1.68750000    
       28800   1.13653338       1.51655412       1.68750000    
       28860   1.13995457       1.51655412       1.68750000    
       28920   1.14338636       1.51585507       1.68750000    
       28980   1.14338636       1.51585507       1.68750000    
       29040   1.15069771       1.51524341       1.68750000    
       29100   1.15683329       1.51524341       1.68750000    
       29160   1.15683329       1.51476312       1.68750000    
       29220   1.15417075       1.51476312       1.68750000    
       29280   1.14625001       1.51428914       1.68750000    
       29340   1.14682925       1.51428914       1.68750000    
       29400   1.14182496       1.51398778       1.68750000    
       29460   1.13864994       1.51398778       1.68750000    
       29520   1.13337505       1.51363266       1.68750000    
       29580   1.13562500       1.51363266       1.68750000    
       29640   1.13562500       1.51279473       1.68750000    
       29700   1.14020002       1.51279473       1.68750000    
       29760   1.14612496       1.51212192       1.68750000    
       29820   1.15582502       1.51212192       1.68750000    
       29880   1.15582502       1.51210189       1.68750000    
       29940   1.16670001       1.51210189       1.68750000    
       30000   1.17542505       1.51194382       1.68750000    
       30060   1.17836583       1.51194382       1.68750000    
       30120   1.18582499       1.51181436       1.68750000    
       30180   1.19287503       1.51181436       1.68750000    
       30240   1.19757497       1.51170230       1.68750000    
       30300   1.20551217       1.51170230       1.68750000    
       30360   1.20092499       1.51185584       1.68750000    
       30420   1.20665002       1.51185584       1.68750000    
       30480   1.20869994       1.51233006       1.68750000    
       30540   1.21000004       1.51233006       1.68750000    
       30600   1.21478045       1.51327324       1.68750000    
       30660   1.21977496       1.51327324       1.68750000    
       30720   1.22712505       1.51396227       1.68750000    
       30780   1.23219514       1.51396227       1.68750000    
       30840   1.24395120       1.51471567       1.68750000    
       30900   1.24794996       1.51471567       1.68750000    
       30960   1.24855006       1.51561701       1.68750000    
       31020   1.24846339       1.51561701       1.68750000    
       31080   1.24709761       1.51641345       1.68750000    
       31140   1.24179995       1.51641345       1.68750000    
       31200   1.23972499       1.51713991       1.68750000    
       31260   1.24392688       1.51713991       1.68750000    
       31320   1.24358535       1.51822090       1.68750000    
