 20190128
 Seconds  Measures(WD-m/s_VX)  Measures(WD-m/s_VY)  Meso-NH(WD-m/s_VX)  Meso-NH(WD-m/s_VY)  FORECAST_AR(WD-m/s_VX)  FORECAST_AR(WD-m/s_VY)
        7260   4.44228601      -1.28631139       4.84672976     -0.875577390       5.04588604      -3.15301967    
        7320   4.42210054      -1.24648571       4.85767603     -0.870675266       5.04588604      -3.15301967    
        7380   4.42474508      -1.18496072       4.85960007     -0.871527791       5.04588604      -3.15301967    
        7440   4.40935421      -1.14792800       4.85341024     -0.877449989       5.04588604      -3.15301967    
        7500   4.37206221      -1.12578392       4.84134674     -0.887479722       5.04588604      -3.15301967    
        7560   4.35754871      -1.10902059       4.82526684     -0.899916530       5.04588604      -3.15301967    
        7620   4.33794689      -1.08738351       4.80559540     -0.911280096       5.04588604      -3.15301967    
        7680   4.32764101      -1.05779815       4.78274202     -0.917329609       5.04588604      -3.15301967    
        7740   4.30319738      -1.02087331       4.75703621     -0.915089250       5.04588604      -3.15301967    
        7800   4.28670597     -0.991155446       4.73017931     -0.904275000       5.04588604      -3.15301967    
        7860   4.26599455     -0.977264047       4.70516062     -0.887691081       5.04588604      -3.15301967    
        7920   4.27322483     -0.943918347       4.68486023     -0.870144606       5.04588604      -3.15301967    
        7980   4.24879408     -0.929745317       4.66929770     -0.856000423       5.04588604      -3.15301967    
        8040   4.23976469     -0.894150794       4.65706301     -0.847203910       5.04588604      -3.15301967    
        8100   4.24116802     -0.844252169       4.64695740     -0.843210995       5.04588604      -3.15301967    
        8160   4.24565697     -0.804313302       4.63861847     -0.842331290       5.04588604      -3.15301967    
        8220   4.23878098     -0.780724525       4.63202620     -0.843248069       5.04588604      -3.15301967    
        8280   4.21198034     -0.761499763       4.62598181     -0.845649004       5.04588604      -3.15301967    
        8340   4.18128824     -0.726952553       4.61753988     -0.850338697       5.04588604      -3.15301967    
        8400   4.17777395     -0.726141274       4.60372162     -0.858874500       5.04588604      -3.15301967    
        8460   4.16602039     -0.731327891       4.58353138     -0.872655690       5.04588604      -3.15301967    
        8520   4.16198397     -0.730616271       4.55905819     -0.891913891       5.04588604      -3.15301967    
        8580   4.16234970     -0.714259863       4.53518629     -0.915010095       5.04588604      -3.15301967    
        8640   4.17012405     -0.677646995       4.51647997     -0.939000309       5.04588604      -3.15301967    
        8700   4.17584991     -0.665020466       4.50329685     -0.960476816       5.04588604      -3.15301967    
        8760   4.18365622     -0.657418966       4.49135399     -0.976190805       5.04588604      -3.15301967    
        8820   4.18879509     -0.644400656       4.47541809     -0.984543443       5.04588604      -3.15301967    
        8880   4.17048931     -0.585024774       4.45265245     -0.986665487       5.04588604      -3.15301967    
        8940   4.14524126     -0.551895142       4.42416048     -0.985783458       5.04588604      -3.15301967    
        9000   4.16070414     -0.547367573       4.39397144     -0.985608339       5.04588604      -3.15301967    
        9060   4.16866684     -0.503261268       4.36635113     -0.988742411       5.04588604      -3.15301967    
        9120   4.16944933     -0.445923388       4.34336281     -0.995979249       5.04588604      -3.15301967    
        9180   4.16712570     -0.402897805       4.32420111      -1.00651395       5.04588604      -3.15301967    
        9240   4.18378496     -0.365312070       4.30726004      -1.01884460       5.04588604      -3.15301967    
        9300   4.20336151     -0.315066755       4.29179859      -1.03183734       5.04588604      -3.15301967    
        9360   4.21541262     -0.303861499       4.27843666      -1.04444993       5.04588604      -3.15301967    
        9420   4.23407745     -0.289096087       4.26823997      -1.05510449       5.04588604      -3.15301967    
        9480   4.24836731     -0.265021920       4.26137495      -1.06213760       5.04588604      -3.15301967    
        9540   4.25576305     -0.264128149       4.25681973      -1.06568849       5.04588604      -3.15301967    
        9600   4.26589966     -0.245113820       4.25296450      -1.06790304       5.04588604      -3.15301967    
