 20180817
 Seconds  Measures(WS-m/s)  Meso-NH(WS-m/s)  FORECAST_AR(WS-m/s)
        7200   5.36065578       6.68381071       5.46999979    
        7260   5.34950829       6.68533087       5.46999979    
        7320   5.34737682       6.69020510       5.46999979    
        7380   5.33590174       6.69510508       5.46999979    
        7440   5.35065556       6.69806528       5.46999979    
        7500   5.36245918       6.69787931       5.46999979    
        7560   5.37885237       6.69399214       5.46999979    
        7620   5.39114761       6.68771172       5.46999979    
        7680   5.40885258       6.68223810       5.46999979    
        7740   5.40852451       6.68068409       5.46999979    
        7800   5.40885258       6.68148279       5.46999979    
        7860   5.40311480       6.68004131       5.46999979    
        7920   5.38262272       6.67735386       5.46999979    
        7980   5.40180349       6.67653513       5.46999979    
        8040   5.41278696       6.67850018       5.46999979    
        8100   5.40573788       6.68363190       5.46999979    
        8160   5.40245914       6.69172287       5.46999979    
        8220   5.41311455       6.70129681       5.46999979    
        8280   5.38819695       6.70997286       5.46999979    
        8340   5.38049173       6.71548605       5.46999979    
        8400   5.40213108       6.71673203       5.46999979    
        8460   5.41196728       6.71382093       5.46999979    
        8520   5.41245890       6.70705748       5.46999979    
        8580   5.40229511       6.69633150       5.46999979    
        8640   5.39163923       6.68187666       5.46999979    
        8700   5.38672113       6.66451693       5.46999979    
        8760   5.38475418       6.64435148       5.46999979    
        8820   5.38377047       6.62005854       5.46999979    
        8880   5.38573790       6.59011316       5.46999979    
        8940   5.40262318       6.55469084       5.46999979    
        9000   5.39622974       6.51640892       5.46999979    
        9060   5.37934446       6.47960806       5.46999979    
        9120   5.37524605       6.44813395       5.46999979    
        9180   5.37114763       6.42387915       5.46999979    
        9240   5.37311459       6.40734959       5.46999979    
        9300   5.36540985       6.39866066       5.46999979    
        9360   5.34688520       6.39758825       5.46999979    
        9420   5.35672140       6.40319681       5.46999979    
        9480   5.35918045       6.41298151       5.46999979    
        9540   5.37114763       6.42312527       5.46999979    
        9600   5.39573765       6.42977428       5.46999979    
        9660   5.39770508       6.43030262       5.46999979    
        9720   5.40688515       6.42344666       5.46999979    
        9780   5.41278696       6.40913868       5.46999979    
        9840   5.42786884       6.38861799       5.46999979    
        9900   5.43311453       6.36415100       5.46999979    
        9960   5.43426228       6.33855581       5.46999979    
       10020   5.43229485       6.31426048       5.46999979    
       10080   5.43311453       6.29240990       5.46999979    
